name,content,source
Appeal to Ridicule Fallacy,"Casting an opponent's argument in a light that makes it sound silly or ridiculous in order to bolster a claim that it is false.

""If Einstein's theory of relativity is right, that would mean that when I drive my car it gets shorter and more massive the faster I go. That's crazy!""",http://en.wikipedia.org/wiki/appeal_to_ridicule
Appeal to Motive Fallacy,"Claiming an argument must be false because of biased motives of the person making it.

""We can't trust the evidence that he produces, because he clearly wants his theory to be true.""",http://en.wikipedia.org/wiki/appeal_to_motive
Appeal to Nature Fallacy,"Arguing that because something is natural it is good, or because it is unnatural it is bad.

""Human beings were not designed to have sex with animals, therefore sex with animals is wrong.""",http://en.wikipedia.org/wiki/appeal_to_nature
Appeal to Novelty Fallacy,"Supposing something is better because it is new or newer.

""Awesome! The latest version of this operating system is going to make my computer faster and better..""",rhetological fallacies spreadsheet
Appeal to Pity Fallacy,"Attempt to induce pity to sway opponents.

The former dictator is an old, dying man. It's wrong to make him stand trial for these alleged offenses.",rhetological fallacies spreadsheet
Appeal to Popular Belief Fallacy,"Claiming something is true because the majority of people believe it.

""Milk is essential for healthier bones""",rhetological fallacies spreadsheet
Chronological Snobbery Fallacy,"Assuming that because something used to be believed in a time when many stupid or naive things were believed, that implies it is false.

""There is no way that head size correlates with intelligence. That's the sort of dumb theory people used to believe hundreds of years ago when they were practicing phrenology!""",http://en.wikipedia.org/wiki/chronological_snobbery
Genetic Fallacy,"Assuming that the origins of something determine its current significance or meaning now.

""You're not going to wear a wedding ring, are you? Don't you know that the wedding ring originally symbolized ankle chains worn by women to prevent them from running away from their husbands?""",http://en.wikipedia.org/wiki/genetic_fallacy
Guilt by Association,"Discrediting an idea or claim by associating it with an undesirable person or group.

""""Oh you want to relax the anti-terrorism laws just like the terrorists want us to do. Are you saying you support terrorism?""""",rhetological fallacies spreadsheet
Hasty Generalization,"Drawing a general conclusion from a tiny sample.

""I just got cut up by the woman driver in front. Women can't drive.""",rhetological fallacies spreadsheet
Straw Man Fallacy,"Attempting to win an argument by refuting an easier to handle version of the opponent's position that they don't actually believe.

""Scientists are saying that the universe started in a massive explosion. But, at the beginning, how can you have an explosion? There is nothing there to explode.""",http://en.wikipedia.org/wiki/straw_man
Suppressed Evidence Fallacy,"Intentionally failing to use significant and relevant information which counts against one’s own conclusion.

""This Iraqi regime possesses and produces chemical and biological weapons. It is seeking nuclear weapons.""",rhetological fallacies spreadsheet
Two Wrongs Make a Right Fallacy,"Assuming that if one wrong is committed, another wrong will cancel it out.

""Sure - the conditions in this prison are cruel and dehumanizing. But these inmates are criminals!""",rhetological fallacies spreadsheet
Unfalsifiable Claim,"Offering a claim that cannot be proven false, because there is no way to check if it is false or not. 

""He lied because he’s possessed by demons.""",rhetological fallacies spreadsheet
Appeal to Hypocrisy Fallacy,"Arguing that a position is wrong, because the person arguing for it does not live in accordance with it.

""He says lying is wrong. But look at him! He's been known to lie himself!""",http://en.wikipedia.org/wiki/tu_quoque
Typical Mind Fallacy,"There was a debate, in the late 1800s, about whether ""imagination"" was simply a turn of phrase or a real phenomenon. That is, can people actually create images in their minds which they see vividly, or do they simply say ""I saw it in my mind"" as a metaphor for considering what it looked like?

The debate was resolved by Francis Galton, who among other achievements invented eugenics, the ""wisdom of crowds"", and standard deviation. Galton gave people some very detailed surveys, and found that some people did have mental imagery and others did not. The ones who did simply assumed everyone did, and the ones who didn't simply assumed everyone didn't, to the point of coming up with absurd justifications for why they were lying or misunderstanding the question. There was a wide spectrum of imaging ability, from about five percent of people with perfect eidetic imagery to three percent of people completely unable to form mental images.",http://lesswrong.com/lw/dr/generalizing_from_one_example/
Fallacy of Grey / Gray,"  The Sophisticate: ""The world isn't black and white. No one does pure good or pure bad. It's all gray. Therefore, no one is better than anyone else.""
  The Zetet: ""Knowing only gray, you conclude that all grays are the same shade. You mock the simplicity of the two-color view, yet you replace it with a one-color view...""
   —Marc Stiegler, David's Sling

Everything is shades of gray, but there are shades of gray so light as to be very nearly white, and shades of gray so dark as to be very nearly black. Or even if not, we can still compare shades, and say ""it is darker"" or ""it is lighter"".

The Fallacy of Gray is a belief that because nothing is certain, everything is equally uncertain. One who commits this fallacy may reply to the statement that odds of two to the power of seven hundred and fifty million to one, against, meant ""there was still a chance"".

This fallacy is invoked by those who wish to attack a well performing system (e.g. science), by saying that it is still imperfect. This then excuses the imperfections of the invoker's chosen system. For example ""Science is based on faith too!""","http://lesswrong.com/lw/mm/the_fallacy_of_gray/
http://wiki.lesswrong.com/wiki/Fallacy_of_gray"
Change Bias in Memory,"After an investment of effort in producing change, remembering one's past performance as more difficult than it actually was.","Psychology and Cognitive Neuroscience"". American Psychologist 54 (3): 182-203. doi:10.1037/0003-066X.54.3.182. PMID 10199218"
Childhood Amnesia in Memory,"The retention of few memories from before the age of four. This is a scarcity that cannot be accounted for by a forgetting curve. Additionally, the boundary is malleable and can be influenced by both
individual experiences and cultural factors.

It has been suggested that the average age of the first memories is three years, six months, with the vast majority of subjects dating their first recollection somewhere between ages two and five years. Very few memories of adults precede 30 months, and those that are reported at this time show considerable confabulation with individuals unable to tell the difference between a memory of an event and simple knowledge of the event (i.e. gained from discussion by others).",http://en.wikipedia.org/wiki/Childhood_amnesia
Context Effect in Memory,"That cognition and memory are dependent on context, such that out-of-context memories are more difficult to retrieve than in-context memories (e.g., recall time and accuracy for a work-related memory will be lower at home, and vice versa)

Context-dependent cues are dependent on the environment and situation. Memory retrieval can be facilitated or triggered by replication of the context in which the memory was encoded. Such conditions include weather, company, location, smelling of a particular odor, hearing a certain song, even taste can sometimes act as a cue. For example, students sometimes fail to recall diligently studied material when an examination room's environmental conditions differ significantly from the room or place where learning occurred. To improve learning and recall, it is recommended that students should study under conditions that closely resemble an examination. Psychologists that have researched context dependent recall include Abernathy (1940), as well as Godden & Baddeley (1975).",http://en.wikipedia.org/wiki/Context-dependent_memory
Fading Affect Bias in Memory,"A bias in which the emotion associated with unpleasant memories fades more quickly than the emotion associated with positive events.

""Life Is Pleasant - and Memory Helps to Keep It That Way!""",http://en.wikipedia.org/wiki/List_of_memory_biases
Hindsight Bias in Memory,"Hindsight Bias is the inclination to see events that have already occurred as being more predictable than they were before they took place

Beyth and Fischoff devised the first experiment directly testing the hindsight bias. They asked participants to judge the likelihood of several outcomes of President Nixon's upcoming visit to Peking (also known as Beijing) and Moscow. Some time after President Nixon's return, participants were asked to recall, or reconstruct the probabilities they had assigned to each possible outcome, and their perceptions of likelihood of each outcome was greater or overestimated for events that actually had occurred.",http://en.wikipedia.org/wiki/Hindsight
Humor Effect in Memory,"That humorous items are more easily remembered than non-humorous ones, which might be explained by the distinctiveness of humor, the increased cognitive processing time to understand the humor, or the emotional arousal caused by the humor.",http://en.wikipedia.org/wiki/List_of_memory_biases
(Self) Generation Effect in Memory,"The Generation Effect refers to the robust finding that information will be better remembered if it is generated rather than simply read. For example, you are more likely to remember the word ""orangutan"" if you generate it from the fragment ""or_ng_ta_"" than if you simply see the word in its entirety.

The Generation Effect is usually achieved in cognitive psychology experiments where participants are asked to generate words from word fragments. It has also been demonstrated using a variety of other materials, such as when generating a word after being presented with its antonym or synonym, or generating keywords in paragraphs, pictures, and arithmetic problems. In addition, the generation effect has been found in studies using free recall, cued recall, and recognition tests.",http://en.wikipedia.org/wiki/Generation_effect
Accuracy of our Memories of our Emotional Responses,"Oddly, we don't seem to learn all that much from our own experience. To learn from experience requires that we be able to remember it, and research shows that people are about as bad at remembering their past emotions as they are predicting their future emotions. That's why we make the same errors again and again. For example, in one of our studies, Democrats predicted they'd be devastated if Bush won the 2004 presidential election, and as we always find, they were not nearly as devastated as they predicted. But several months after the election, they remembered being just as devastated as they had expected to be. It turns out that this is a very common pattern of memory errors. Retrospection and prospection share many of the same biases, and hence reinforce each other.",http://www.randomhouse.com/kvpa/gilbert/qa.html
Illusion-of-truth Memory Bias,"People are more likely to identify as true statements those they have previously heard (even if they cannot consciously remember having heard them), regardless of the actual validity of the statement. In other words, a person is more likely to believe a familiar statement than an unfamiliar one.",http://en.wikipedia.org/wiki/Implicit_memory#Illusion-of-truth_effect
Mood-congruent Memory Bias,The improved recall of information congruent with one's current mood.,http://en.wikipedia.org/wiki/List_of_memory_biases
Next-in-line Effect in Memory,That a person in a group has diminished recall for the words of others who spoke immediately before or after this person.,http://en.wikipedia.org/wiki/List_of_memory_biases
Part-set Cueing Effect in Memory,"Presenting a subset of previously learned items as retrieval ""cues"" often impairs recall for the remaining information. (Roediger, 1973)

However, relearning part of a set of previously learned associations can improve recall of the non-relearned associations.","Slamecka NJ (1968). ""An examination of trace storage in free recall"". J Exp Psychol 76 (4): 504–13

Stone JV, Hunkin NM, Hornby A (2001). ""Predicting spontaneous recovery of memory"". Nature 414 (6860): 167–8."
Rosy Retrospection in Memory,"Rosy Retrospection refers to the finding that subjects later rate past events more positively than they had actually rated them when the event occurred; reminiscent of the Latin phrase ""memoria praeteritorum bonorum"" (""the past is always recalled to be good"").

The effect appears to be stronger with moderately pleasant events and is usually explained as a result of minor annoyances and dislikes ""fading"" from memory dramatically faster than positive situations.

Reference class forecasting (the method of predicting the future, through looking at similar past situations and their outcomes) was developed to eliminate or reduce the effect of rosy retrospection in decision making.",http://en.wikipedia.org/wiki/Rosy_retrospection
Telescoping Effect in Memory,"People's tendency to perceive recent events as being more remote than they are, and to perceive distant events as being more recent than they are. More specifically, the former is known as ""backward telescoping"", and the latter as ""forward telescoping"". Between backward and forward telescoping there lies a point at which events are just as likely to be displaced backward as forward in time.

The original work is usually attributed to a 1964 article by Neter and Waksberg in the Journal of the American Statistical Association.",http://www2.fiu.edu/~dwright/pdf/telescopepoq.pdf
Zeigarnik Effect in Memory,"States that people remember uncompleted or interrupted tasks better than completed tasks.

Soviet psychologist Bluma Zeigarnik first studied the phenomenon after her professor, Gestalt psychologist Kurt Lewin, noticed that a waiter had better recollections of still unpaid orders.

In Gestalt psychology, the Zeigarnik effect has been used to demonstrate the general presence of Gestalt phenomena: not just appearing as perceptual effects, but also present in cognition.

The Zeigarnik effect suggests that students who ""suspend"" their study, during which they do unrelated activities (such as studying unrelated subjects or playing games), will remember material better than students who complete study sessions without a break (Zeigarnik, 1927; McKinney 1935).",http://www.psychwiki.com/wiki/Zeigarnik_Effect
