Name,Should use?,Has received final editing pass?,Description,Experimental evidence,"If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psynso.com/forgetting/",Examples,Manual keywords,Ten Conditions for Change (primary),Ten Conditions for Change (secondary),Benevolent helper,Tags,Source URLs,Source descriptions,Source notes,Other notes,Anthony's Notes,Ideas for Testing,Even more notes,Type of Rational Thinking Error(s) (Stanovich),Class of Rational Thinking Error(s) (Stanovich)
Ingroup Bias,,,Ingroup Bias refers to a tendency for people to give preferential treatment to those perceived to be members of their ingroup.,"Robert Cialdini and his research team looked at the number of university T-shirts being worn on college campuses following either a win or loss at the football game. Not surprisingly, the Monday after a win there were more T-shirts being worn, on average, than following a loss. [The next sentences are from the original description column and seem to be expanding on the concept rather than only describing it.] The need to improve self esteem may be one cause of this bias: individuals will find a reason, no matter how insignificant, to prove to themselves why their group is superior. By having a more positive impression of individuals in the ingroup, individuals are able to boost their own self-esteem as members of that group.

The bias may lead to intergroup aggression, competition, and prejudice. ","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this comes from https://psychology.wikia.org/wiki/Ingroup_bias",,"member, group, preferential, treatment",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To attempt to overcome this bias, one could point it out and to point out the resulting negative impacts. One could also encourage the person to focus on the behavior itself, rather than the people or organization(s) they associate (or don't associate) with it. 
 
(There are some similarities between these strategies and those targeting Guilt by Association and Appeal to Spite Fallacies.) ",cognitive bias,http://en.wikipedia.org/wiki/Ingroup_bias,,,,,,,,
Inoculation Effect,,,"The Inoculation Effect refers to the phenomenon whereby someone's exposure to a flawed argument in favor of a particular hypothesis reduces the degree to which they perceive that hypothesis to be credible. (This can occur even if the hypothesis could be supported by other, better arguments). ",,,"For example, someone might form the belief that a particular behavior change will not produce positive health outcomes if the first few people who attempted to convince them (of the benefits of that behavior) provided flawed arguments or weak evidence in support of their views.
","inoculation, vaccine, exposure, flawed, weakened",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To avoid this effect and its counterproductive behavioral effects, it may help to point it out and offer stronger alternative arguments (e.g., ""steelman"" the hypothesis). One could also focus on the information itself, rather than the flawed way in which it has (so far) been conveyed.


(See also: Argument from Fallacy.)
",cognitive bias,http://en.wikipedia.org/wiki/Inoculation_theory,,,,,,,,
Irrational Escalation (aka Escalation of Commitment) / Sunk Cost Fallacy,,,"Irrational Escalation refers to a phenomenon whereby prior investment in a decision is used to justify _increased_ investment in it, despite new evidence suggesting that the cost (starting today) of continuing the decision increasingly outweighs the expected benefit. ","[taken from the descripiton column, this next sentence seems like more of an exampe than either description or evidence - maybe should be added to the example column, if we want multiple examples in there?] 
The term has been used to describe the United States commitment to military conflicts including Vietnam in the 1960s - 1970s and in Iraq in the 2000s, where dollars already spent and lives already lost ""justify"" continued involvement. (""We've already come this far..."")","I think this can be deleted because it doesn't refer to any specific studies - it just gives anecdotal evidence. (It was just expanding on the description, and I moved it into this column when going through the descriptions.) ","For example, someone might have an old car that they have driven for years and to which they have become quite attached. If another vehicle then crashes into the old car at some traffic lights, the person may invest large sums of money in repairing it, even if there comes a time where the mechanic's quote for the next required repair exceeds the cost of replacing the car.","escalation, increase, investment, sunk, cost, prior, previous",2. Desires,10. Maintains,"To overcome or avoid this phenomenon, help people to notice that having sunk a lot of time, energy, and money into an old behavior isn't a good reason to maintain that old behavior. 

To leverage this phenomenon, one could ask people to expend a lot of time, energy, and money on a new, positive behavior, since that may decrease the likelihood that they'll regress into other, less desirable behaviors.",cognitive bias,http://en.wikipedia.org/wiki/Irrational_escalation,,,,,,,,
Irrelevant Conclusion Fallacy,,,"The Irrelevant Conclusion Fallacy refers to the use of an argument that may in itself be valid, but that does not address the issue in question.",,,"For example, suppose that one friend is trying to convince another to undertake a positive behavioral change (e.g., getting enough sleep each night). The friend that they are trying to convince might respond, ""but I already do these other positive behaviors,"" even if that is irrelevant to the relative benefit that would be offered by them taking on the additional behavior in question.","irrelevant, conclusion, argument, valud, address, issue",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome or avoid this fallacy, especially if it is counterproductively affecting behavior, it may help to notice this, to point this out, and to refocus on the discussion at hand.",rhetorical fallacy,http://en.wikipedia.org/wiki/ignoratio_elenchi,,,,,,,,
Just-World Phenomenon,,,"The Just-World Phenomenon refers to a tendency for people to see the world as a just place (which is thought to arise from a desire to see it as such). As a result, when they witness an otherwise inexplicable injustice, they may rationalize it by searching for ways in which the victim can be perceived as deserving it.","In one study, female and male subjects were told two versions of a story about an interaction between a woman and a man. Both variations were exactly the same, except one ending was that the man raped the woman, and in the other he proposed marriage. In both conditions, both female and male subjects viewed the woman's (identical) actions as inevitably leading to the (very different) results. ","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this comes partly from https://abuse.wikia.org/wiki/Just-world_phenomenon",,"justice, world, fairness, fundamental, intrinsic, rationalize, victim",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To try to overcome this phenomenon after someone has experienced a behavioral failure or slip-up, it may be helpful to discourage people from assigning blame or to point out examples of times when they have succeeded. To leverage this phenomenon, one could highlight the ways in which someone has ""earned"" their success through hard work (rather than through luck and circumstances). ",cognitive bias,http://en.wikipedia.org/wiki/Just-world_phenomenon,,,,,,,,
Loaded Question Fallacy,,,Loaded Question Fallacy refers to the use (typically in an argument) of a question that contains a controversial assumption. ,,,"For example, someone might say, ""Why should I stop smoking and relinquish my only reliable method of relaxing during my stressful workdays?"" (This is a loaded question that includes the assumption that smoking is the person's only available and reliable method of relaxing during stressful days at work.)","loaded, question, controversial, assumption",1. Considers,"2. Desires, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome or avoid this fallacy, one should point it out when it occurs and avoid engaging in the fallacy when presenting information (e.g., about why it may be beneficial to engage in a desired behavior). Statements based on unproven assumptions would be unwise (and arguably unethical, if provably false or if inducing unwarranted guilt on the part of the listener) to employ as a means of promoting behavior change.",rehtocial fallacy,http://en.wikipedia.org/wiki/loaded_question,,,,,,,,
Loss Aversion,,,Loss Aversion refers to people's tendency to prefer avoiding losses to acquiring gains.,"Recent studies have questioned the existence of loss aversion. One found that loss aversion does not exist in small payoff magnitudes. Another found that loss aversion is more likely to affect a person in competitive situations. [next sentences are taken from the old version of the description column:] Some studies suggest that losses are twice as powerful, psychologically, as gains. Whether a transaction is framed as a loss or a gain is very important: would you rather get a $5 discount (win), or avoid a $5 surcharge (loss)? The same change in price framed differently has a significant effect on consumer behavior. In other words, losses have a more profound effect on us than does a gain of the same value. This is related to the Endowment Effect, and was once thought to be an consequence of it.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, the first part comes form http://mibes.teilar.gr/proceedings/2010/poster/29_final.pdf and the second part partly comes from https://psychology.wikia.org/wiki/Loss_aversion",,"loss, averse, prefer, avoid, acquire, gain",6. Chooses,,"To leverage this aversion, if regular rewards are offered for performing a desired behavior, it might be helpful if those rewards are denied or lost if the person fails to continue the behavior.",cognitive bias,http://en.wikipedia.org/wiki/Loss_aversion,,,,,,,,
Ludic Fallacy,,,"Ludic Fallacy can refer to the fallacious assumption that one's own model (or view) of something captures all relevant aspects and all risks associated with it (that is, that there are no unknown unknowns).",,,,"self, model, view, perspective, known, unknown",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 7. Knows, 8. Has, 10. Maintains.","To try to overcome this fallacy, it could help to point out when it occurs and to encourage the person to notice the uncertainties involved in the situation at hand. Otherwise, the fallacy could cause people to prematurely stop searching for information about how to start and maintain the behavior because they assume they have enough information already. 

To overcome this fallacy in the longer-term, one could encourage the person to practice probabilistic thinking, with particular attention being paid to realizing that they should have some uncertainty in every belief that they form. For example, one could note that, although one can be sure that one is currently having thoughts (if one is thinking about this idea, then they must be thinking), this is probably the only thing about which one can really be sure. Beyond that, there is some degree of uncertainty in almost every statement. It might also help to practice fostering epistemic humility. To do this, one could practice (1) realizing that they may be wrong and (2) using evidence and reasoning to routinely subject statements and beliefs to scrutiny (before accepting them).

(Note: the strategies for the Ludic Fallacy are similar to those for Hasty Generalizations.) ",logical fallacy,http://en.wikipedia.org/wiki/ludic_fallacy,,,,,,,,
Memory Inaccuracy,,,Humans appear not to maintain accurate memories of our emotional responses to events.,"To learn from experience requires that we be able to remember it, and research shows that people are about as bad at remembering their past emotions as they are predicting their future emotions. That's why we make the same errors again and again. For example, in one of our studies, Democrats predicted they'd be devastated if Bush won the 2004 presidential election, and as we always find, they were not nearly as devastated as they predicted. But several months after the election, they remembered being just as devastated as they had expected to be. It turns out that this is a very common pattern of memory errors. Retrospection and prospection share many of the same biases, and hence reinforce each other.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual study before describing and citing it. :S Currently, though, this comes from https://artofhappiness-barkat.blogspot.com/",,"accuracy, emotion, response, events, memory, remember",2. Desires,10. Maintains,"To overcome Memory Inaccuracy, it might help to ask people (1) to keep careful documentation of their emotional responses after performing a relevant action and (2) to review their documentation regularly to maintain the accuracy of their memory of the action and their emotional responses.","happiness, emotion, memory, memory bias",http://www.randomhouse.com/kvpa/gilbert/qa.html,,,,,,,,
Mere Exposure Effect,,,The Mere Exposure Effect refers to a tendency to express undue liking for things merely because of familiarity with them.,"Charles Goetzinger conducted an experiment using the Mere Exposure Effect on his class at Oregon State University. Goetzinger had a student come to class wearing a large black bag with only his feet visible. That student (student A) sat on a table in the back of the classroom. Goetzinger's experiment was to observe if the students would treat Student A in accordance with the Mere Exposure Effect. His hypothesis was confirmed. The students in the class first treated Student A with hostility, which over time turned into curiosity, and eventually friendship. This experiment confirms (Zajonc's) Mere Exposure Effect: by simply presenting the student wearing the black bag over and over again to the other students, their attitudes were changed.","Doesn't look like it was copy-pasted. Yay! The wording seems like it doesn't need to be changed. But I wonder if we need to go and find the study and link to it every time we cite a study? (If so, would need to find & add link.)","For example, someone might be more likely to purchase food or drink products that are labeled with familiar brand names, merely because they are familiar with them.","exposure, familiar, preference",1. Considers,2. Desires,"To leverage this effect, one could regularly expose people to examples of the new behavior so that they develop a liking for it.",cognitive bias,http://en.wikipedia.org/wiki/Mere_exposure_effect,,,,,,,,
Misleading Vividness Fallacy,,,Misleading Vividness Fallacy refers to the fallacious assumption that more vividly-described examples of something are more likely to be representative of that thing or more worthwhile to consider when deciding on a conclusion or course of action.,,,"For example, if someone was considering beginning tennis lessons as a way of increasing their physical activity levels, their friend might say, ""I wouldn't take up tennis if I were you. My friend was playing tennis when they got hit directly in the eye by a tennis ball. They had to see eye specialists for months afterward, and it turned out they had a retinal injury. Their vision hasn't been the same since then.""","mislead, vivid, representative, worthwhile, description",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome or avoid this effect, it would help to avoid any misleading vividenss when presenting information (e.g., about why it may be beneficial to engage in a desired behavior) and to point out when others use it. To leverage this bias, use examples that are both vivid and true. As long as the audience is not deceived as to the anecdotal nature of the example, doing this might be beneficial in that it might increase the degree to which people desire, plan for, implement, and maintain the behavior.",logical fallacy,http://en.wikipedia.org/wiki/misleading_vividness,,,,,,,,
Money Illusion,,,The Money Illusion refers to a tendency to concentrate on the nominal (face) value of money instead of its value in terms of purchasing power.,"Experiments have shown that people generally perceive a 2% cut in nominal income as unfair, but see a 2% rise in nominal income where there is 4% inflation as fair, despite them being almost rational equivalents.","Doesn't look like it was copy-pasted. Yay! The wording seems like it doesn't need to be changed. But I wonder if we need to go and find the study and link to it every time we cite a study? (If so, would need to find & add link.)","For example, someone might consider traveling to Japan to consolidate what they learned during a recent language course, but they may change their mind when they see that hotel rooms cost thousands of yen per night.","money, illusion, focus, apparent, actual, purchase, power",2. Desires,,"To leverage this effect, if the behavior would increase earning capacity (such as through building a new habit or skill), then the nominal (face value) of this should be highlighted. This may be perceived as more motivating than if the behavior was only perceived as changing the person's purchasing power. 
",cognitive bias,http://en.wikipedia.org/wiki/Money_illusion,,,,,,,,
Mood-Congruent Memory Bias,,,The Mood-Congruent Memory bias can refer to the improved recall of information that is congruent with one's current mood.,,,,"mood, congruent, memory, remember, current",4. Remembers,"1. Considers, 6. Chooses","To leverage this bias when implementing a behavioral intervention, it may help to present information that is congruent with the person's mood at the time that they hear it. (However, this may be difficult to achieve in practice.)","memory bias, mood, emotion",http://en.wikipedia.org/wiki/List_of_memory_biases,,,,,,,,
Moral Credential Effect,,,"The Moral Credential Effect refers to a psychological phenomenon whereby someone may perceive their moral or egalitarian actions as a ""license"" to later engage in less moral or egalitarian actions. ","[from the original description column:] For example, individuals who had the opportunity to recruit a woman or an African American in one setting were more likely to later say, in a different setting, that a job would be better suited for a man or a Caucasian.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this comes partly from http://nlpnotes.com/moral-credential/","For example, someone may aspire to reduce their negative environmental impact. They may decide to abstain from ever using plastic straws again and may then feel more justified the next time they purchase a plane ticket. (A less harmful case of the Moral Credential Effect might arise if, instead of using an action as low-impact as abstention from plastic straw use, the person donated to an effective charity addressing climate change in order to feel that they were morally ""licensed"" to purchase the plane ticket.)","moral, credential, egalitarian, license",1. Considers,,"To overcome this effect, it might help to discuss examples of people who haven't rested on past moral achievements but who have continued to press forward doing good in the world.",cognitive bias,http://en.wikipedia.org/wiki/Moral_credential,,,,,,,,
Moral Luck,,,"Moral Luck refers to a situation in which moral (dis)value is ascribed to an action or event based on its outcome, rather than on the intention(s) or actual level of responsibility of the moral agents involved at the time of the action or event. ",,,"or example, if two drivers run two different red lights, and, all else being equal, one of them hits a person who was crossing the street while the other gets only a traffic ticket, then people may believe that the person who hit a pedestrian is more morally blameworthy then the other driver, despite the fact that both drivers committed the same original offense (just under different circumstances).","moral, luck, value, outcome, intention, responsibility",10. Maintains,"2. Desires, 3. Intends, 5. Believes, 6. Chooses","To overcome this phenomenon, it might help to point out the factors in a situation that could have turn out differently (particularly with respect to the moral implications of the different possible outcomes). This phenomenon might cause people to think that a given behavior change is morally praiseworthy if it is associated with positive outcomes, even if those outcomes were in part due to chance. The reverse could also occur (moral culpability may be ascribed to the behavior change if it is associated with negative outcomes, even if these were not due to the behavior itself). A benevolent helper could point out the phenomenon when it arises and could encourage the person to reevaluate their beliefs about the relative value (or disvalue) of the behavior in question.",cognitive bias,http://en.wikipedia.org/wiki/Moral_luck,,,Q,,,,,
Moving the Goalposts Fallacy,,,"Moving the Goalposts Fallacy refers to the dismissal of a valid response to a claim in an argument, followed by the demand for other (usually more difficult-to-produce) evidence. ",,,"For example, someone may say that they are not yet convinced that they should partake in a particular behavior change, such as having at least five 30-minute sessions of moderate-to-vigorous aerobic activity every week, because they claim that they don't think it benefits their mental health (e.g., claiming that they dislike it, so can't imagine it improving their mental health). After being presented with evidence regarding the mental health benefits of regular physical activity, they may then ""move the goalposts"" and instead claim that they don't think exercise benefits them enough because they think is likely to lead to knee injuries, and may then demand to see the evidence regarding the risks and benefits for their knees.","goalpost, dismiss, valid, response, demand, evidence",2. Desires,"3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, one could encourage the person to write down, a priori, what information would cause them to change their mind regarding the issue in question. If the person was able to be specific about their hypotheses and about what level of evidence would cause them to change their mind, they might be less likely to ""move the goalposts"" (or might be more likely to at least acknowledge the times at which they do so). ",rhetorical fallacy,http://en.wikipedia.org/wiki/moving_the_goalposts,,,,,,,,
Negativity Bias,,,Negativity Bias refers to a cognitive bias in which people pay more attention to and give more weight to negative experiences or information than to positive or neutral experiences or information.,"[from original description column: For example, when given a piece of positive information and a piece of negative information about a stranger, people's judgment of the stranger will be negative, rather than neutral (assuming the two pieces of information are not severely imbalanced).]","I think this can be deleted because it doesn't refer to any specific studies. (It was just expanding on the description, and I moved it into this column when going through the descriptions.) ","For example, when deciding whether to commit to a particular behavior change, someone might learn about the pros and cons of that behavior. If they fall prey to Negativity Bias, then they will be more likely to remember and to place weight on the downsides to the behavior change, which might cause them to decide it is not worth doing (even if, in reality, the downsides would be outweighed by the upsides).","positive, negative, attention, focus, neutral, experiences, information",2. Desires,,"To overcome or reduce the effects of this bias, it may help to take it into consideration when presenting costs and benefits of a behavior; one could then plan the delivery of this information accordingly. When presenting costs and benefits, lead with costs. Without downplaying the costs or exaggerating the benefits, show why the benefits outweigh the costs. If possible, absorb some of the costs for users or give additional, non-intrinsic benefits.",cognitive bias,http://en.wikipedia.org/wiki/Negativity_bias,,,,,,,,
Neglect of Probability,,,Neglect of Probability refers to a tendency to completely disregard probabilities when making a decision under uncertainty. ,"In one example of near-total neglect of probability, Rottenstreich and Hsee (2001) found that the typical subject was willing to pay $10 to avoid a 99% chance of a painful electric shock, and $7 to avoid a 1% chance of the same shock. (They suggest that probability is more likely to be neglected when the outcomes are emotion arousing.) The subject disregards probability in making his decision by treating each possible outcome as equal in his reasoning.","Doesn't look like it was copy-pasted. Yay! The wording seems like it doesn't need to be changed. But I wonder if we need to go and find the study and link to it every time we cite a study? (If so, would need to find & add link.)","For example, someone who is considering a set of alternative methods of achieving a particular goal should consider the different probabilities associated with success associated with each option. However, if they disregard these probabilities when choosing which alternative to opt for, then they would have fallen prey to Neglect of Probability.","neglect, probability, disregard, uncertainty",1. Considers,,"To overcome this tendency, especially if someone is completely unfamiliar with probabilistic thinking, it may be helpful to give them some familiar examples that have a similar likelihood of occurring to the outcomes of the target behavior; this might help them develop an intuitive feel for the likelihood of the outcomes. (The same thing could be done with expected value calculations.)",cognitive bias,http://en.wikipedia.org/wiki/Neglect_of_probability,,,,,Ask some test takers how much they would pay for a lottery ticket if they had a 25% chance of winning 1 million dollars ans ask other test takers how much they would pay if they had a 1% chance of winning 1 million dollars. I suspect that the 1%ers would pay more than 1/25th of the 25%ers.,,"Focal Bias, Probability Knowledge","The Cognitive Miser (Focal Bias), Mindware (Probability Knowledge)"
Next-in-Line Effect in Memory,,,The Next-in-Line Effect refers to a tendency for someone in a group to be less likely to remember what was said immediately before or after it was their turn to speak.,,,,"group, immediate, before, after, speak",4. Remembers,"1. Considers, 6. Chooses","To overcome or avoid the negative impacts of this effect, one might avoid using group discussion settings as the first context in which to present information pertaining to a desired behavior change. Otherwise, if using group discussion settings to promote the behavior, then depending on how the groups are set out, it would be possible that a number of people in the room may not recall the information pertaining to the behavior (because they were thinking about whether and what they were going to say next). This could then reduce the probability that they think of the behavior and choose to engage in it when opportunities to engage in that behavior arise. ",memory bias,http://en.wikipedia.org/wiki/List_of_memory_biases,,,,,,,,
Nirvana Fallacy,,,"The Nirvana Fallacy refers to a tendency to assume that perfect solutions to problems exist or to compare reality with unrealistic, idealized alternatives.",,,"For example, in response to a new policy being implemented in a school with the aim of increasing teacher-to-student ratios in key classes, someone may argue that the new school proposals are unacceptable because some students will still not be getting sufficient attention from teachers.","nirvana, perfect, ideal, unrealistic, alternatives",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 7. Knows, 8. Has, 10. Maintains.","To try to overcome this fallacy, one could respectfully encourage the person to engage in more realistic reasoning, perhaps by providing examples of outcomes that are desirable, despite not being perfect. Otherwise, the Nirvana Fallacy could cause people to dismiss proposals for behavior change if these do not match up with their unrealistically high expectations regarding what a behavior change ""should"" constitute. It may also distort their perception of the possible ways to plan for and implement the behavior, may give them unrealistically high expectations of the environmental requirements (""Has"" condition), and may give them unrealistically high expectations regarding what should happen during the maintenance phase of the behavior as well. ",rhetorical fallacy,http://en.wikipedia.org/wiki/nirvana_fallacy,,,,,,,,
No True Scotsman Fallacy,,,"The No True Scotsman Fallacy refers to the fallacious assumption that one can still defend a universal claim even when faced with a counterexample of it, as long as one simply redefines the universal claim as specifically excluding that counterexample. ",,,"For example, someone might believe that all people who learn a particular skill must do so through a specific school or training program in order to be considered ""truly"" skilled at the behavior in question. If they are given counterexamples of people who learned the skill through other mechanisms, they may then claim that the people who learned the skill via those alternative mechanisms are not ""truly"" skilled.","true, identity, member, group, universal",8. Has,"2. Desires, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains.","To overcome this fallacy when it is counterproductively influencing behavior, it might help to encourage the person to consider reevaluating the situation in light of new information. Over the longer-term, it might help to encourage the person to develop probabilistic and nuanced thinking. In this way, they might become less inclined to categorize things as being ""always"" a certain way.",rhetorical fallacy,http://en.wikipedia.org/wiki/no_true_scotsman,,,,,,,,
Normalcy Bias,,,"Normalcy Bias refers to a cognitive bias whereby people facing a disaster or other threat tend to underestimate both the possibility of the disaster or threat occurring and its possible effects. An assumption is made in the case of the Normalcy Bias that since a disaster has never occurred, it never will occur. It also results in a person's inability to cope with a disaster once it does occur. ","[these next sentences are taken from the original description column - not sure whether to delete or keep.] An assumption is made in the case of the Normalcy Bias that since a disaster never has occurred, it never will occur. It also results in a person's inability to cope with a disaster once it does occur. People with a normalcy bias have difficulties reacting to something they have not experienced before. People also tend to interpret warnings in the most optimistic way possible, seizing on any ambiguities to infer a less serious situation. The normalcy bias often results in unnecessary deaths in disaster situations.","I think this can be deleted because it doesn't refer to any specific studies. (It was just expanding on the description, and I moved it into this column when going through the descriptions.) ","For example, Normalcy Bias appeared to affect people's behavior in New Orleans before Hurricane Katrina. Some examples of normalcy bias included inadequate government and citizen preparation, the denial that the levees could fail, and thousands of people's refusals to evacuate.

Normalcy Bias may also have contributed to some populations' slower responses to COVID-19.","normal, normalcy, disaster, threat, estimate, underestimate",1. Considers,,"To overcome this bias, it might help to provide regular training for governments, communities, and individuals so that disaster responses become automatic.",cognitive bias,http://en.wikipedia.org/wiki/Normalcy_bias,,,,,,,,
Observer-Expectancy Effect,,,"The Observer-Expectancy Effect (also known as the Experimenter's Effect or the Expectation Effect) refers to an effect whereby someone expects a particular result (e.g., in an experiment or dataset) and, owing to this expectation, subconsciously manipulates an experiment or misinterprets data in order to find that result.",,,"For example, a police officer may (subconsciously) believe that black people are morally inferior to white people and may therefore (subconsciously) arrest black people at a higher rate than white people. Later, they might look at their arrest records and notice that they've arrested black people at a higher rate than white people, and they might feel that their worldview is justified (even if they never explicate their own beliefs to themselves). 

As another example, this might manifest in a behavior change context as a person who has an expectation that they'll fail to adopt a new behavior. They may sabotage themselves or misinterpret the actual outcomes as manifestations of failure. ","observe, expect, result, subconscious, manipulate, experiment, interpret, data",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 7. Knows, 8. Has, 10. Maintains.","To overcome this effect when it is counterproductively influencing behavior, it may help to challenge people's assumptions and reevaluate the situation in question. One could encourage people to write down or speak through exactly what they did and what outcomes occurred (since it may be easier to analyze what happened and to identify flawed reasoning when it is articulated clearly).

To leverage this effect, in some cases, it might be possible to encourage people to expect positive outcomes (thus hopefully increasing their chances of succeeding in their behavior change efforts). In such situations, this could interact positively with Optimism Bias. As long as the person's expectations are not so high as to be unrealistic, having high expectations in and of themselves could increase the probability that the person performs better than they would have (had their expectations been lower). This effect could interact with every stage of behavior change, from the planning through to implementation and maintenance of the behavior.",cognitive bias,http://en.wikipedia.org/wiki/Observer-expectancy_effect,,,,,,,,
Omission Bias,,,"Omission Bias refers to a tendency to judge harmful actions as morally worse than equally harmful omissions (inactions). Some moral philosophers posit that this is not a bias and that it truly is the case that harmful actions are morally worse than harmful omissions (i.e., they endorse the acts/omissions distinction).","Spranca, Minsk, and Baron extended the omission bias to judgments of morality of choices. In one scenario, John, a tennis player, would be facing a tough opponent the next day in a decisive match. John knows that his opponent is allergic to a food substance. Subjects were presented with two conditions: John recommends the food containing the allergen to hurt his opponent's performance, or the opponent himself orders the allergenic food, and John says nothing. A majority of people judged that John's action of recommending the allergenic food as being more immoral than John's inaction of not informing the opponent of the allergenic substance.","Doesn't look like it was copy-pasted. Yay! The wording seems like it doesn't need to be changed. But I wonder if we need to go and find the study and link to it every time we cite a study? (If so, would need to find & add link.)",,"omission, omit, judge, harmful, action",2. Desires,,"To overcome this bias, it may help to show how inaction or lack of adoption of target behavior doesn't allow people to escape moral culpability.",cognitive bias,http://en.wikipedia.org/wiki/Omission_bias,,,,,,,,
Optimism Bias,,,"Optimism Bias is the tendency to be unduly optimistic about the probability of future positive and negative events (i.e., overestimating the probability of the former while underestimating the probability of the latter).","Armor and Taylor review a number of studies that have found optimism bias in different kinds of judgment. These include: - Second-year MBA students overestimated the number of job offers they would receive and their starting salary; - Students overestimated the scores they would achieve on exams; - Almost all newlyweds in a US study expected their marriage to last a lifetime, even while aware of divorce statistics; - Professional financial analysts consistently overestimated corporate earnings; - Most smokers believe they are less at risk of developing smoking-related diseases than others who smoke. Companies have exploited this bias by increasing interest rates to punitive rates for any late payment, knowing that overconfidence causes many people to grossly underestimate their odds of making a payment late.","This would need rewording. Depending on the level of depth we want to go into when explaining the evidence supporting the existence of particular biases, I would feel the need to go and find the actual studies before describing and citing them. :S Currently, though, this is partly from https://psynso.com/optimism-bias/",,"optimism, undue, probability, future, positive, negative, estimate",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 8. Has, 10. Maintains","To leverage this bias, encourage the person to have optimistic expectations (without being unrealistic). Optimism Bias could be an important factor to keep in mind, both for the person changing their behavior and anyone supporting them in doing so, at every stage of behavior change (from the planning through to implementation and maintenance of the behavior). It has the potential to either be helpful or counterproductive to behavior change, depending on how unrealistic it is and depending on what the optimism pertains to. For example, the tendency to persist in the face of challenges (which could be seen as a form of behavioral optimism) appears to be predicted by a person's level of intellectual humility ([Porter et al., 2020](https://www.sciencedirect.com/science/article/abs/pii/S1041608020300686?casa_token=sJNl4ThLbWUAAAAA:E8U8KRkr11qvyWjYzRoIIiR8SaC_J2L9rML1N-a1qBt0CgNVIEPjWli410B7hb0ONUG7HtQ8x-8)). If intellectual humility is a quality that can be nurtured or encouraged, then this might represent an attractive way to encourage people to persist in the face of challenges (behavioral optimism), without encouraging them to become overconfident. 


Optimism Bias can also interact with the Observer-expectancy Effect and the placebo effect. Having optimistic expectations in and of themselves could increase the probability that the person performs better than they would have (had their expectations been lower). This may be desirable as long as the person is aware of the bias and as long as the person's expectations are not so high as to be unrealistic. However, it is also worth keeping in mind that encouragement is only one factor that could influence the degree of Optimism Bias someone experiences; it may also be driven by their own personal characteristics and health conditions. 

To attempt to overcome Optimism Bias in cases where it is excessive or is counterproductively influencing someone's behavior, it might help to point this out. It may also help to generate more realistic expectations regarding positive and negative outcomes of their behavior change efforts. The person could then generate more realistic plans for starting and continuing a given behavior.",cognitive bias,http://en.wikipedia.org/wiki/Optimism_bias,,,,,,,,
Ostrich Effect,,,"The Ostrich Effect refers to a tendency of investors to avoid undesirable information about their investments, for example, by checking the value of their investments less frequently during times that they know they won't like what they find. A saying related to this phenomenon (also based on the popular myth that an ostrich buries its head in the sand) is to ""put one's head in the sand.""",Research by Loewenstein and Duane Seppi determined that people in Scandinavia looked up the value of their investments 50% to 80% less often during bad markets.,"Doesn't look like it was copy-pasted. Yay! The wording seems like it doesn't need to be changed. But I wonder if we need to go and find the study and link to it every time we cite a study? (If so, would need to find & add link.)",,"ignore, avoid, information",2. Desires,3. Intends,"To overcome this effect, it might help to remind people that knowing is virtually always better than not knowing, and that it's not possible to avoid or diagnose or respond to risky or negative situations simply by ignoring them. Encourage them to seek help or advice from a trusted third party, one who can be objective and unemotional about the situation. (For example, people may ignore symptoms of medical problems because knowing what's wrong makes it ""real."" But a doctor is exactly the sort of person who needs to be consulted in those situations because they're a knowledgeable and objective source of advice and help.)",cognitive bias,http://en.wikipedia.org/wiki/Ostrich_effect,,,,,,,,
