PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
,ANTICIPATE OBSTACLES,Identify barriers to performing the behavior and plan ways of overcoming them.,,,5. To be deleted,,Same as #220,,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,in use,,245
,PRAISE EFFORT,Praising or rewarding the person for effort without this being contingent on specified behaviors or standards of performance.,6. Chooses,REWARDS,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,in use,"rewards, reward, praise, incentive, rewarded, bonus, incentives, loyalty, encourages, recognizes",246
,INCREMENTAL TASKS,Start with easy tasks and increase the difficulty until target behavior is performed.,9. Embodies,MODIFIED ACTION,2. Edited,,Name changed (there is another strategy with the same name),,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"incremental, tasks, reflects, accomplish, requires, recognizes, entails, defines, functions, emulates",247
,PROVIDE INSTRUCTION,Provide instruction (SCogT) Telling the person how to perform a behavior and/ or preparatory behaviors.,,,5. To be deleted,,Same as #249: INSTRUCTIONS,,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,no,,248
,TEACHING BEHAVIOR,"An expert shows the person how to correctly perform a behavior step-by-step e.g., in class or on video.",9. Embodies,MODELING,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"modeling, teaching, model, teach, teaches, models, taught, variational, modeled, learning",249
,PROMPT SPECIFIC GOAL SETTING,"Involves detailed planning of what the person will do including a definition of the behavior specifying frequency, intensity, or duration as well as the specification of at least one context, i.e., where, when, how, or with whom.",3. Intends,PLANNING,0. No edits needed,,Is it too similar to #218?,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,yes,"planning, plans, intends, planned, intend, preparing, plan, wants, intending, decided",250
,PROMPT GOAL REVIEW,Prompt review of behavioral goals (CT) Review and/or reconsideration of previously set goals or intentions.,,,5. To be deleted,,Same as #223,,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,no,,251
,SELF-MONITORING,"Ask the person to keep a record of specified behaviors (e.g., in a diary). When a behavior is measured, it tends to influence that behavior. For instance, if a person keeps a record of how many steps they take each day, they'll tend to take more steps.",10. Maintains,COMMITMENT,2. Edited,,Merged with #304 measure effect,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"commitment, commitments, pledge, committed, maintains, devotion, desire, determination, belief, insistence",252
,PROVIDE FEEBDACK,Provide feedback on performance (CT) Providing data about recorded behavior or evaluating performance in relation to a set standard or others’ performance. Person received feedback.,,,5. To be deleted,,A combination of #216 and #193,,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,no,,253
,CONTINGENT REWARDS,"Provide praise, encouragement, or material rewards that are explicitly linked to the achievement of a series of specific behaviors across time.",10. Maintains,REWARDS,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"rewards, reward, incentive, bonus, rewarded, incentives, contingent, loyalty, prizes, discounts",254
,TEACH TO USE PROMPTS,"Teach the person to identify environmental cues that can be used to remind them to perform a behavior, including times of day, contexts, or elements of contexts. For example, whenever you start preparing your dinner, use that as a reminder to also prepare a healthy snack to take to work the next day.",4. Remembers,REMINDERS,2. Edited,,Added the example,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"reminder, remind, reminds, remembering, remember, remembers, reminded, forget, memories, lessons",255
,BEHAVIORAL CONTRACT,"Agree behavioral contract (OC) Agreement (e.g., signing) of a contract specifying behavior to be performed so that there is a written record of the person’s resolution.",,,5. To be deleted,,Merged with #221 and #421,,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,in use,,256
,PROMPT PRACTICE,Prompt the person to rehearse and repeat the behavior or preparatory behaviors. It can be followed by a discussion of the experience and providing feedback.,7. Knows,PRACTICE,2. Edited,,Added the second sentence to merge with #363,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"practice, practices, practicing, practiced, prompt, drills, procedure, preach, routine, do",257
,FOLLOW UP PROMPTS,Use follow up prompts Contacting the person again after the main part of the intervention is complete.,,,0. No edits needed,,Too generic for periodic communication,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,in use,,258
,SOCIAL COMPARISON,Provide opportunities for social comparison (SCompT),,,5. To be deleted,,When checking the source document it turns out that this is the same as #261 LET OBSERVE OTHERS,,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,no,,259
,LET OBSERVE OTHERS,Have the person see other non-experts doing the action to reinforce their belief that they can do it as well.,5. Believes,TASK SELF-EFFICACY,2. Edited,,"Before: Facilitate observation of non-expert others’ performance e.g., in a group class or using video or case study.",,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"task, believes, observe, thinks, knows, understand, believe, insists, insist, tasks",260
,PLAN SOCIAL SUPPORT,Plan social support/ social change (social support theories),,,5. To be deleted,,"Too generic, there are already social support strategies on the list that are more specific",,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,no,,261
,BUDDY SYSTEMS,"Assign the person a ""buddy"" who is also trying to change the same behavior and has a similar situation. They can then be encouraged to help each other and can be given suggestions for ways they can provide each other support.",10. Maintains,SUPPORT NETWORK,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"buddy, maintains, friend, pal, pals, friends, supports, dad, network, guy",262
,SHOW THEY ARE ROLE MODEL,Indicate how the person may be an example to others and influencing their behavior or providing an opportunity for the person to set a good example.,2. Desires,PRIMAL DESIRE,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"desires, primal, desire, lust, impulses, fantasies, instinct, passions, innate, passion",263
,SELF-TALK,"Encourage use of self-instruction and self-encouragement (aloud or silently) to support action. For example, the person may repeat the phrase ""I CANNOT FAIL"" to themselves out loud 10 times.",5. Believes,TASK SELF-EFFICACY,2. Edited,,Merged with #13 affirmations,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,in use,"task, believes, thinks, tasks, insists, challenge, knows, admits, realizes, says",264
,RELAPSE PREVENTION,"Following the initial change, help identify situations likely to result in re-adopting risk behaviors or likely to promote failure to maintain new behaviors and help the person plan to avoid or manage these situations. For instance, if someone has quit smoking, a situation where they are the only non-smoker may pose a risk to this new behavior, and they can plan to avoid such situations.",10. Maintains,COPING AND RECOVERY,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,in use,"prevention, recurrence, recovery, depression, chronic, treatment, diagnosis, addiction, therapy, dealing",265
,STRESS MANAGEMENT,"Teach techniques for quickly lowering anxiety or stress levels (e.g., mindfulness meditation or progressive relaxation). These can be used when anxiety is causing avoidance of conducting the behavior.",10. Maintains,EMOTIONAL STATE,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,no,"stress, emotional, anxiety, psychological, maintains, management, physiological, physical, stressed, pain",266
,MOTIVATIONAL INTERVIEWING,Motivational interviewing Prompting the person to provide self-motivating statements and evaluations of their own behavior to minimize resistance to change.,,,5. To be deleted,,Same as #321,,,,,"A taxonomy of behavior change techniques used in interventions;
Abraham, C; Michie, S 2008",,,,in use,,267
,TIME MANAGEMENT,"Helping the person make time for the behavior (e.g., to fit it into a daily schedule).",3. Intends,PLANNING,0. No edits needed,,,,,,,"Abraham, C., & Michie, S. (2008). A taxonomy of behavior change techniques used in interventions. Health Psychology, 27(3), 379–387. doi: 10.1037/0278-6133.27.3.379",,,,yes,"planning, plans, intends, planned, management, preparing, intend, plan, expects, wants",268
,POINTS,"Give a user points when they carry out the desired behavior. Make sure that these points are designed to be something that the person actually associates with something they care about (e.g., if points are simply numbers, then they are irrelevant; but points can be very motivating if someone thinks of the points as representing their progress towards a goal that really matters to them, if they are competing with friends to get the highest points, or if they view points as a reflection of their performance at a skill they really care about being good at).",6. Chooses,REWARDS,0. No edits needed,,,,,,,,,,,no,"rewards, reward, points, bonus, incentive, rewarded, leads, chooses, motivates, prizes",269
,BADGES,"Give the user ""badges"" reflecting achievements they have gotten. It's critical that the user cares about these achievements because they feel like they understood what they needed to do to get the badge and worked hard to get it and so feel proud of it. Achievements that seem meaningless to the user or that do not evoke good feelings are not going to be motivating.",10. Maintains,REWARDS,0. No edits needed,,,,,,,,,,,no,"badges, rewards, reward, stickers, prizes, cards, loyalty, recognition, sticker, bonus",270
,DISCOUNTING,"The further out into the future that benefits or costs will be accrued or incurred, the less people care about them. So benefits in one minute are valued more than benefits tomorrow, which are valued more than benefits in one year. One type of discounting is hyperbolic discounting, according to which how much people care about future benefits ""fall relatively rapidly for earlier delay periods (as in, from now to one week), but then fall more slowly for longer delay periods (for instance, more than a few days). For example, in a study subjects said they would be indifferent between receiving $15 immediately or $30 after 3 months, $60 after 1 year, or $100 after 3 years. These indifferences reflect annual discount rates that declined from 277% to 139% to 63% as delays got longer. This contrasts with exponential discounting, in which valuation falls by a constant factor per unit delay and the discount rate stays the same."" Another effect of hyperbolic discounting is that ""many people prefer $100 now to $110 in a day, but very few people prefer $100 in 30 days to $110 in 31 days."" In other words: ""More generally, the rate at which people discount future rewards declines as the length of the delay increases"". When the intrinsic benefit of the behavior change is delayed in time (for example, if a person is trying to lose weight the goal will take at least months to be met), people are more likely to choose to not perform the desired action for the immediate pleasure / reward (eating a bowl of ice cream) because of excessively high rates of discounting, so interventions to address this have to make the delayed reward more desirable or build in immediate rewards (e.g., marking one more day of eating healthy on a tracker).",6. Chooses,REWARDS,2. Edited,I'd say this is primarily a Chooses strategy - you try to give immediate (or fast) rewards for taking actions or make people feel the glow of taking a positive action right away rather than having to wait a long time to feel good about the action,Merged with Hyperbolic Discounting,,,,,,,,,no,"rewards, discounts, discount, incentive, reward, pricing, loyalty, incentives, bonus, promotional",271
,OVERPLACEMENT,"People tend to think they are better than other people at many skills (although sometimes the reverse is true as well). This is different from overestimation, which is about actual performance rather than relative ranking. Overplacement can be useful to motivate people to do something by offering a reward to the top performers. ",2. Desires,PRIMAL DESIRE,2. Edited,"This would be a rather unusual Desires strategy, where because people naturally tend to think they will be better at skills than other people will be, if you have a reward based on relative performance (how many other people they outcompete) they will tend to think they are more likely to get the reward which can be motivating. So ""a reward for the top 10 performers"" and things like that.",Added how it can be made into an intervention,,,,,,,,,no,"desires, primal, desire, lust, impulses, passions, fantasies, instinct, feelings, innate",272
,OVERPRECISION,"Overconfidence in your knowledge of the truth. For instance, when predicting a value, people tend to think the real value is more likely to be close to their prediction than it really will be (i.e. their uncertainty interval in their predictions is too narrow)",,,,probably not worth including in the final framework,,,,,,,,,,no,,273
,OVERESTIMATION,"Offer a big reward to people for performing above a certain level - which is higher than the desired one. Since people tend to think they are better at tasks than they really are, chances are they see the reward within their reach and will be motivated to try delivering high performance.",2. Desires,REWARDS,2. Edited,"Again could work as an unusual Desires strategy, where you offer a reward based on absolute performance, and people may overestimate their ability to get the reward",Added how to turn into a strategy.,,,,,,,,,no,"rewards, reward, desires, incentive, rewarded, gratification, bonus, incentives, loyalty, motivates",274
,HYPERBOLIC DISCOUNTING,"""According to hyperbolic discounting [how much people care about future benefits] fall relatively rapidly for earlier delay periods (as in, from now to one week), but then fall more slowly for longer delay periods (for instance, more than a few days). For example, in an early study subjects said they would be indifferent between receiving $15 immediately or $30 after 3 months, $60 after 1 year, or $100 after 3 years. These indifferences reflect annual discount rates that declined from 277% to 139% to 63% as delays got longer.[5] This contrasts with exponential discounting, in which valuation falls by a constant factor per unit delay and the discount rate stays the same.""",,,5. To be deleted,"I suggest merging this together with Discounting (note that hyperbolic discounting is a special kind of discounting, so it could be added as a special case of the more general discounting).",Merged with DISCOUNTING,,,,,Wikipedia,,,,no,,275
,AVAILABILITY BIAS,"People tend to overweight whatever comes to mind most easily; e.g., recent events, vivid examples, etc.",,,5. To be deleted,,"There are already strategies on the list that use the availability bias, such as those that include providing vivid scenes.",,,,,Center for advanced hindsight flash cards,,,,no,,276
,CONFIRMATION BIAS,"People tend, by default, to seek out information to confirm (rather than to try to refute) their existing conceptions, which may be keeping them from adopting positive behaviors. If that is the case, the intervention should consist of confronting them with information to challenge their beliefs so that they build an intention to develop the healthy habit or adopt the desired behavior.",2. Desires,LOGIC,2. Edited,"I think this could be a strategy in the sense of a strategy to FIGHT confirmation bias, which could be helpful for the desires step. For instance, imagine someone who vapes and only seeks out sources that say that vaping is safe. You could, as a strategy, expose them to information that contradicts their belief or that challenges them to seek out contradictory sources, which could lead their desire to vape to change",Added how to turn into a strategy.,,,,,,https://advanced-hindsight.com/resources/,,,no,"logic, bias, biases, reasoning, confirmation, desires, rationality, ideology, rational, dogma",277
,DEFAULT BIAS,"People often stick with whatever the default action is (especially when there are a large number of options to choose from), so if the default is the desired action, they may simply stick with it. A behavior change strategy based on this can be to make the desired action be the default one.",6. Chooses,AUTOMATIC,2. Edited,,Added how to turn into a strategy.,,,,,,https://advanced-hindsight.com/resources/,,,no,"automatic, automatically, default, bias, chooses, biases, selectable, selects, choose, determines",278
,DISPOSITION EFFECT,People tend to hang onto bad investments for too long (e.g. they want to recoup their losses) and tend to sell out of good investments too soon (e.g. they want to reap the benefits),,,,probably not worth including in the final framework,,,,,,Center for advanced hindsight flash cards,,,,no,,279
,EGO DEPLETION,"People's decision-making (or temptation resistance or willpower exertion) may become increasingly impaired after having to make many decisions or do other difficult tasks. The strategy is to avoid having the person make too many decisions at once, avoid having them exert too much willpower, or avoid having them exert self-control too often; otherwise, their skill at decision or ability to resist temptation or make future decisions might decline.",9. Embodies,OTHER,2. Edited,"""Avoiding ego depletion"" could be a useful strategy in embodies. Basically, the strategy is to avoid having the person make too many decisions at once, or avoid having them exert too much willpower, or avoid having them exert self-control too often, otherwise their skill at decision or ability to resist temptation or make future decisions might decline.",,,,,,,https://advanced-hindsight.com/resources/,,,no,"ego, depletion, selfishness, intellect, incarnate, humility, greed, undeniable, arrogance, lust",280
,ENDOWMENT EFFECT,"People may tend to overvalue the things they already have relative to the things they don't currently have (e.g., what they own right now). Therefore, instead of giving rewards for performing an action, they can be given the reward beforehand (assuming it is not something consumable), and if the person does not perform the action, the reward is then taken away. In both cases, the person wins the reward for performing the action and gets nothing if they chose not to, but the same reward may be more effective when framed that way.",6. Chooses,REWARDS,,This could go into chooses - motivating the person by taking away something they have already been given if they don't take the action (e.g. you give them rewards but they expire if not used quickly),,,,,,,https://advanced-hindsight.com/resources/,,,no,"rewards, reward, incentive, gift, bonus, scholarship, gifts, incentives, savings, money",281
,GOAL GRADIENT,"People tend to work harder as they get close to accomplishing a goal. So when a goal is almost completed, make this very apparent to the user to increase their motivation.",10. Maintains,FEEDBACK,2. Edited,,Added how to use for an intervention,,,,,,https://advanced-hindsight.com/resources/,,,no,"feedback, gradient, input, responses, torque, chromaticity, response, spline, measurements, radial",282
,HERDING,People tend to copy the behaviors of those around them.,,,5. To be deleted,,Same as #120,,,,,Center for advanced hindsight flash cards,,,,no,,283
,LACK OF SELF CONTROL,"People have trouble delaying rewards (that is, they will often choose a reward now over a larger reward later even though they say they would rather have the later bigger reward)",,,5. To be deleted,"I would put this in chooses and the strategy is in avoiding exertions of self-control - basically structure the action in such a way where they don't have to exert willpower or avoid temptation in order to do the action. For instance, if the action is eat a healthy snack, don't have an unhealth snack nearby, as that will require exerting willpower!",Same as #8: Adjust surroundings,,,,,Center for advanced hindsight flash cards,,,,no,,284
,LOSS AVERSION,"People feel that losses are worse than equally sized gains are good. So for instance, they'll feel worse losing $1 than they feel good if they gained $1.",,,5. To be deleted,"This can be used in Desires, the person desires to engage in the behavior because they are afraid of losing something they value if they don't (e.g. you explain that if the person doesn't begin physical therapy, they may lose the ability to walk)",Same as #331: Personalize risk,,,,,Center for advanced hindsight flash cards,,,,no,,285
,MENTAL ACCOUNTING,"People treat resources (especially money) differently based on what category it is in, that is, based on where that money came from and what they plan to use it for. So for instance, if someone just won $500 at a casino they may be much more willing to spend it immediately on frivolous things than they would be willing to spend $500 they got from their employer. This is especially useful if the new behavior requires resources, or if the behavior itself is about setting resources aside: you get the person to think of certain resources as being in a different mental category, so they choose to behave differently towards those resources. For example, you get them to create a special bank account for retirement, which a certain amount of money gets sent to from their main bank account each month, and now they are reluctant to spend from the retirement account so they increase their savings towards retirement.",6. Chooses,FRICTION REDUCING,2. Edited,"This can be useful as a chooses strategy - you get the person to think of certain resources as being in a different mental category, so they choose to behave differently towareds those resources. For example, you get them to create a special bank account for retrement, which a certain amount of money gets sent to from their main bank account each month, and now they are reluctant to spend from the retirement account so they increase their savings towards retirement!",Turned into a strategy,,,,,,https://advanced-hindsight.com/resources/,,,no,"accounting, friction, mental, reducing, reduces, chooses, adjustment, organizational, adjusting, determining",286
,MONEY ILLUSION,"People tend to think of prices in literal dollar amounts rather than in inflation-adjusted dollars even though it is the latter that determines how much something ""really"" costs in a meaningful sense (relative to earnings)",,,,probably not worth including in the final framework,,,,,,Center for advanced hindsight flash cards,,,,no,,287
,OMISSION BIAS,"People think it is worse to cause direct harm compared to passively allowing harm to take place. For instance, they think that murdering someone is worse than allowing them to die.",,,5. To be deleted,,"An intervention taking into account the omission bias would be to point out what happens if the person does not adopt the desired behavior, and there are several strategies about that.",,,,,Center for advanced hindsight flash cards,,,,no,,288
,OPPORTUNITY COST,"People tend to ignore opportunity costs when considering how good an action is (i.e. they don't necessarily take into account what they would have done with that time and money had they not taken the action). Therefore, when a person has an undesired behavior, help them to understand the opportunity cost of doing it - what they're giving up by doing it that they may not have considered - to motivate the new behavior that doesn't have that opportunity cost. For instance, if the new behavior is to spend more time with their kids, but currently they are spending hours watching TV every day, the opportunity cost of watching TV could be clearly explained.",2. Desires,LOGIC,2. Edited,"This can be used as a desires strategy when reversed. Basically, if someone has a negative behavior that they currently are doing, you get them to undersatnd the opportunity cost of doing it - what they're giving up by doing it that they may not have considered, to motivate the new behavior that doesn't have that opportunity cost! So for instance, if the new behavior is spend more time with their kids, but currently their are spending hours watching TV every day, the opportunity cost of watching TV could be clearly explained.",Turned into a strategy,,,,,,https://advanced-hindsight.com/resources/,,,no,"logic, desires, desire, reasoning, rationale, opportunity, simply, motivations, notion, philosophy",289
,OSTRICH EFFECT AVOIDANCE,"When people feel like things aren't going well (e.g., they have fallen off track on their diet or their investments are down) they try to avoid finding out how they are doing (e.g., by not weighing themself or not checking their investment account). To avoid this effect, regular check-ins can be scheduled at pre-planned intervals (e.g., with an external care provider or advisor).",10. Maintains,FEEDBACK,2. Edited,,Turned into an intervention,,,,,,https://advanced-hindsight.com/resources/,,,no,"feedback, responses, input, subjective, reviews, advice, effect, response, reactions, reaction",290
,PAIN OF PAYING,"People find some ways of paying more painful than others, especially incremental payments (since you feel the pain multiple times) and cash payments (as opposed to, say, paying with previously purchased tokens). They may tend to feel bad about or avoid these more painful types of payments. Therefore, by recommending people to pre-purchase needed goods (or services), they will have them available when it's time to perform the action(s).",8. Has,PREPARATION,2. Edited,,Added the final sentence to turn the psychological insight into a strategie.,,,,,,https://advanced-hindsight.com/resources/,,,no,"preparation, prepare, preparations, preparing, prepared, training, paying, planning, pain, pre",291
,PAYMENT FOR EFFORT,"People tend to feel better about a service or find it more valuable when it seems like it took a lot of effort to perform it (rather than just judging it on the quality of the outcome). Therefore, when presenting the reward for adopting the behavior, it may be useful to stress the effort it took to create or provide.",2. Desires,OTHER,2. Edited,"This goes in desires, but making it clear all the effort it took to create or provide the reward they are going to be given.",Turned into a strategy,,,,,,https://advanced-hindsight.com/resources/,,,no,"desires, payment, desire, payments, wishes, demands, needs, aspirations, preferences, must",292
,PLANNING FALLACY AVOIDANCE,"People tend to underestimate how long and how costly projects will be. This may occur because people tend to assume that each of the many steps for the project will go the way it is most likely to go (even though chances are in a complex project some steps will go horribly wrong). It may also occur because people are more likely to accidentally leave off steps (i.e. they don't think of something that in fact will be required for the project) than they are to accidentally include unnecessary steps. Avoiding the planning fallacy involves considering past examples of similar actions and how long they took, estimating how long future versions of the action would likely take, and fitting the action into your schedule with sufficient time for completion.",10. Maintains,COMMITMENT,2. Edited,"Avoiding the planning fallacy could be a strategy in Chooses, since Chooses includes things like wanting to take the action but realizing you don't have time. Avoiding the planning fallacy would involve considering past examples of similar actions and how long they took, to plan out how long future versions of the action would likely take, so as to fit the action into your schedule or meet a deadline on taking the actions.",Turned into an intervention,,,,,,https://advanced-hindsight.com/resources/,,,no,"commitment, belief, insistence, committed, devotion, desire, pledge, maintains, commitments, determination",293
,POWER OF FREE,"People tend to find free things really attractive, even compared to things that cost almost nothing. Therefore, if the option is advertised as being free, it is more likely that a person will choose to do it. ",6. Chooses,"HIGHLIGHTING
",2. Edited,,Added how to turn into a strategy,,,,,,https://advanced-hindsight.com/resources/,,,no,"highlighted, highlight, highlights, illustrates, illustrate, discusses, detailing, illustrated, describing, chooses",294
,REGRET AVOIDANCE,"How good people feel about a thing doesn't just depend on the outcome; it also depends on their beliefs about what could have happened (e.g., the 2nd place runner might feel bad about it if they expected to get 1st place, but feel great about it if they expected to get 10th place). So if a person is feeling bad about how their new behavior is going, counterfactuals could be presented showing how it could have gone much worse to make them feel better about how it's going, which might prevent giving up.",10. Maintains,MINDSET,2. Edited,"Avoiding this can go into maintains I think, because let's say you are feeling bad about how your new beavhior is going, counterfactuals could be presented showing how it could have gone much worse to make you feel better about how it's going which might e.g. prevent giving up",,,,,,,https://advanced-hindsight.com/resources/,,,no,"mindset, mentality, attitude, regret, approach, perception, thinking, philosophy, ethic, instinct",295
,RELATIVITY,"People's perception of how good an option is depends on what else is around, including other options available (e.g. people may view an option as more attractive if another option is very similar to that one but clearly worse, since this direct comparison highlights the benefits of the first option).",,,5. To be deleted,This is a useful desires strategy - the positive behavior can be made to seem more desirable by presenting it around other options that are carefully chosen to be similar but be clearly worse),Same as #61 Contrast,,,,,Center for advanced hindsight flash cards,,,,no,,296
,REWARD SUBSTITUTION,"By giving immediate rewards on behaviors, you can motivate people to achieve long-term goals (which can be especially motivating when, normally, the rewards wouldn't occur until the very end).",6. Chooses,REWARDS,0. No edits needed,,,,,,,,https://advanced-hindsight.com/resources/,,,no,"rewards, reward, incentive, rewarded, bonus, incentives, prizes, loyalty, substitution, prize",297
,AVOIDING SCARCITY MINDSET,"When you lack something important (e.g., money, food, time) you tend to be hyper focussed on this resource at the expense of considering the bigger picture, and it may cause more cognitive load which also makes it difficult to focus on other things. Even though these resources may not be necessarily linked to performing the behavior (e.g., quitting tobacco does not cost money; in fact, it saves money in the long run), the person needs them nonetheless.",8. Has,PREPARATION,2. Edited,"Avoiding this is a Has strategy i'd say. Basically, helping the person plan to avoid being too tight on any needed resource like time or money etc. If you have no money that's going to derail other behaviors because you have to focus almost entirely on money suddenly, and similar for time.",,,,,,,https://advanced-hindsight.com/resources/,,,no,"preparation, prepare, preparations, preparing, mindset, avoiding, prepared, motivation, mentality, attitude",298
,AVOIDING STATUS QUO BIAS,"People have a tendency to want to keep things the way they are (e.g. not change society or their lives too much). So if the default/current behavior is undesirable, you make it clear the costs of maintaining the status quo.",,,5. To be deleted,"Avoiding status quote bias could be a good strategy in desire, where if the default/current behavior is undesirable, you make it clear the costs of maintainng the status quo.",Part of #243 Consecuences,,,,,Center for advanced hindsight flash cards,,,,no,,299
,TUNNELING,When an emergency is happening people tend to have trouble focusing on anything else. Therefore it is important to make sure that the person does the actions in situations / environments where urgent or emergency things are unlikely to pop up that would pull them out of the action.,6. Chooses,EMOTIONAL STATE,2. Edited,This is a kind of unusual chooses strategy - where you make sure that the person does the actions in situations/enviroments where urgent or emergency things are unlikely to pop up that would pull them out of the action,Turned into a strategy,,,,,,https://advanced-hindsight.com/resources/,,,no,"chooses, emotional, decides, wants, refuses, happens, decide, emotionally, knows, selects",300
,PRE-COMMITMENT,"By purposely raising the costs of failing to take an action, people can influence their future behavior, for instance by setting up a situation where you have big penalties if you don't hand something in on time.",6. Chooses,PUNISHMENT,0. No edits needed,,,,,,,,https://advanced-hindsight.com/resources/,,,no,"punishment, punishments, sentence, chooses, punished, penalty, punish, decides, sentences, imprisonment",301
,WHAT-THE-HELL EFFECT,"Once people have fallen off from a plan, they tend to say ""what the hell"" and abandon that plan completely. For instance, someone who breaks their diet may go all in and gorge themselves since it's already broken anyway.",,,5. To be deleted,"Avoiding this could be a good strategy under maintains. Basically, not framing the behavior as all or nothing (so missing one day means you've failed completely) and giving them a clear strategy of what to do if they start to fail (e.g. if you miss a day what should you do the next day)","There's a number of interventions under maintains to avoid this effect: #7 recovery plan, #178 self-report, #179 past obstacles, #182 improvement plan ",,,,,Center for advanced hindsight flash cards,,,,no,,302
,MEASURE EFFECT,"Measure or track a behavior: When a behavior is measured it tends to influence that behavior; for instance, if a person gets a daily measurement of how many steps they took, they tend to take more steps",,,5. To be deleted,,Merged with #253 Promt self-monitoring,,,,,Center for advanced hindsight flash cards,,,,no,,303
,OPTIMISM BIAS,People tend to think things will go better for them than it will for others (e.g. smokers underestimate their personal risk in smoking),,,5. To be deleted,"Avoiding optimism bias could be a desires strategy - e.g. by correcting this sort of optimistic misconception by saying ""there is an X% chance that if you do this thing then this bad outcome will result"" to personalize the outcome to them","Reducing optimism bias is behind #331, personalize risk, and #332 scenario based risk information",,,,,Center for advanced hindsight flash cards,,,,no,,304
,SUBSTITUTION,"When trying to get rid of a behavior, people tend to find it easier to replace it with another similar but non-harmful behavior, rather than to get rid of it completely. For instance, it's easier to replace smoking with chewing nicotine gum than to stop completely, and it's easier to replace eating an unhealthy cookie daily with eating a healthier snack daily than with eating no snack.",6. Chooses,FRICTION REDUCING,0. No edits needed,,,,,,,,https://advanced-hindsight.com/resources/,,,no,"substitution, substituting, substituted, substitutes, switching, change, switch, friction, shift, substitute",305
