name,condition,description,most important words,synonyms
If-by-whiskey Fallacy,Considers,"The If-by-whiskey Fallacy refers to the phenomenon whereby the way in which a concept is communicated about depends on the audience to whom it is being communicated. In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out counterexamples to demonstrate that this is a fallacy. This fallacy may be important when planning *how* to encourage people to meet the ""considers"" condition - in view of this fallacy, the wording that is employed might be particularly important in determining the way in which the information and the behavior will be perceived.",communicated whereby audience phenomenon refers fallacy whom depends concept being,"['audience', 'communicate', 'communicating', 'definition', 'frame', 'frames', 'framing', 'pixel', 'pixels', 'projector', 'subjective']"
Illicit Major Fallacy,Desires,"The Illicit Major Fallacy is a logical reasoning fallacy about the relationships between categories or assertions. For the purpose of explaining this fallacy, let's imagine there are three categories of things, labeled as ""A,"" ""B,"" and ""C."" The Illicit Major Fallacy has the following form: ""All A are B. No C are A. Therefore, no C are B."" There is a fallacious assumption here that the third statement follows from the first two, but it does not (e.g., B could be a larger category than A, so just because no C are A, that doesn't preclude things in category C from belonging to category B). In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out counterexamples to demonstrate that this is a fallacy. This fallacy could cause people to form unrealistic perceptions of the desirability of the behavior, of the range of plans that could feasibly allow them to enact it, of the effects of the behavior, and of the resource requirements for starting and continuing the behavior. For example, someone might reason that, ""over the past year, all people who've been physically active at the gym for at least 2-2.5 hours every week have been physically active for at least 2 hours every week. No non-gym members use the gym for that length of time every week. Therefore, no non-gym members have been physically active for at least 2 hours every week."" (The implication of this flawed reasoning might then be: ""if I want to be active for at least 2 hours every week, I can't remain a non-gym member. But due to my income, I have to remain a non-gym member, therefore I am incapable of setting the goal of being active for at least 2 hours every week."") A helper could point out the flawed reasoning, and could offer alternative ways of viewing the situation (e.g., by offering suggestions for the many alternative ways in which the person could be physically active for at least 2 hours every week). ",illicit fallacious preclude relationships assertions labeled belonging categories explaining fallacy,"['alliance', 'categories', 'category', 'friendship', 'group', 'partnership', 'relations', 'relationship', 'relationships', 'segment', 'ties']"
Illicit Minor Fallacy,Desires,"The Illicit Minor Fallacy is a logical reasoning fallacy about the relationships between categories or assertions. For the purpose of explaining this fallacy, let's imagine there are three categories of things, labeled as ""A,"" ""B,"" and ""C."" The Illicit Minor Fallacy has the following form ""All A are B. All A are C. Therefore, all B are C."" There is a fallacious assumption here that the third satement necessarily follows from the first two, but it does not (e.g., it is possible that there are some things in category B that are related to neither A nor C). In cases where this fallacy is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this fallacy is counterproductive, a benevolent helper could point out counterexamples to demonstrate that this is a fallacy. This fallacy could cause people to form unrealistic perceptions of the desirability of the behavior, of the range of plans that could feasibly allow them to enact it, of the effects of the behavior, and of the resource requirements for starting and continuing the behavior. For example, someone might reason that, ""over the past year, all people who've been physically active at the gym for at least 2-2.5 hours every week have been physically active for at least 2 hours every week. All of those people are gym members. Therefore, all people who are physically active for at least 2 hours every week are gym members."" (The implication of this flawed reasoning might then be: ""if I want to be active for at least 2 hours every week, I have to be a gym member. I can't afford that, therefore I am stuck with not having that goal."") A helper could point out the flawed reasoning, and could offer alternative ways of viewing the situation (e.g., by offering suggestions for the many alternative ways in which the person could be physically active for at least 2 hours every week).",illicit fallacious relationships assertions labeled categories explaining fallacy category reasoning,"['alliance', 'categories', 'category', 'friendship', 'group', 'partnership', 'relations', 'relationship', 'relationships', 'segment', 'ties']"
Illusion of Asymmetric Insight,Intends,"The Illusion of Asymmetric Insight refers to a person's perception that they know more about their peers than their peers know about them. The same term can also be applied when a group believes they know more about other groups than those groups know about them. This illusion might cause people to assume that they would be able to perceive others' internal struggles in starting and continuing a behavior. In turn, this could lead them to form inaccurate beliefs about how easy the behavior change is (which might be motivating in the short-term, but which might cause unrealistic plans to be made, which might reduce the chance of the behavior being successfully engaged in and maintained). A benevolent helper could encourage the person not to assume that they are right when they perceive other people as breezing through a behavior change.",asymmetric peers illusion person's insight perception refers believes applied term,"['asymmetric', 'deterministic', 'electron', 'electrons', 'gravitational', 'group', 'insight', 'neural', 'peer', 'perception', 'photons', 'scalar', 'symmetric', 'symmetrical', 'topology']"
Illusion of Control,Desires,"The Illusion of Control refers to a tendency to overestimate the degree to which events fall within one's control. In cases where this illusion is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this illusion is counterproductive, a benevolent helper could point out the other factors that can contribute to specific outcomes (beyond the factors within the person's control). This illusion might cause people to think that a given behavior change is more under their control than it is in reality, which could cause them to desire the behavior change more (""Desires"") or to believe that specific actions they take will lead to specific positive outcomes (""Believes""), as well as feeling more accomplished than they otherwise would in situations where they succeed at starting or continuing the behavior (which could be motivating). On the other hand, it could also cause people to feel that a failure to engage in or to continue a behavior is representative of a personal failure, which might be demotivating for them over the longer-term (""Maintains""). Focusing on factors over which they have control may also cause someone to overlook important environmental and social considerations (which might be important for meeting the ""Has"" condition) during the planning (""Intends""), implementation (""Chooses"") and maintenance stages of their behavior change. (There are some similarities between this illusion and self-serving bias. The Illusion of Control, however, differs with respect to how people respond to failure, so it presents different obstacles to behavioral change compared to self-serving bias.) ",overestimate illusion tendency refers one's degree fall events within control,"['assumptions', 'control', 'estimate', 'estimated', 'estimates', 'events', 'forecast', 'illusion', 'illusions', 'projection', 'projections', 'unknowable']"
Illusion of Transparency,Has,"Illusion of Transparency refers to a tendency for people to overestimate how transparent their mental state is (that is, how easily others can discern their personal mental state). Relatedly, an Observer's Illusion of Transparency refers to a tendency for people to overestimate the transparency of the mental states of those they are observing (causing them to overestimate the degree to which they can discern others' mental states). This tendency might cause people to assume that everyone around them knows their mental state, and possibly (by extension) how best to support them in their behavior change efforts. For example, someone might assume that their peers know it is distressing them when they offer them a cigarette at a party when they are trying to quit (despite not necessarily having told them about their quitting intentions and how much they matter to them). A benevolent helper could encourage someone to avoid making such assumptions, and to instead voice their needs and emotions whenever this would be helpful (especially in supporting their behavior change efforts). Another example would be emphasizing the importance of asking for help/resources when they are needed, and/or asking for permission to do whatever behavior would be beneficial, rather than assuming that others around the person already know that they have specific needs. For example, someone who struggles to work productively in the morning might benefit from asking their supervisor if they can start at a later time (rather than assuming their supervisor will know their needs), if they are in a workplace where they know that the starting times are negotiable between employees and their supervisors.",overestimate observer's transparency discern others' illusion transparent observing tendency refers,"['democratic', 'illusion', 'illusions', 'impartial', 'mental', 'objectivity', 'observe', 'parallax', 'rationality', 'subjective', 'transparent']"
Illusion-of-truth Memory Bias,Desires,"Illusion-of-truth Memory Bias refers to a phenomenon whereby people are more likely to identify statements as true if they have previously heard them (even if they cannot consciously remember having heard them), regardless of the actual validity of the statement. In other words, Illusion-of-truth Memory Bias causes people to be more likely to believe a familiar statement than an unfamiliar one. This may be important for those planning interventions to raise awareness of a particular desired behavior. This bias might mean that it is less advisable to present myths and myth-busters, if there is a chance that people will remember the myth as true (merely due to having been exposed to it). The same bias may increase the importance of communication and repetition as part of interventions that encourage people to adopt a specific behavior - if people have heard before that a behavior will be associated with positive outcomes, this might increase their probability of believing this, and of planning for and choosing the behavior.",consciously unfamiliar whereby validity bias phenomenon refers identify previously regardless,"['axiom', 'delusion', 'falsehood', 'illusion', 'illusions', 'memory', 'mirage', 'myth', 'remember', 'statement', 'truth', 'truths']"
Illusory Correlation,Desires,"Illusory Correlation refers to a phenomenon whereby an observer sees a relationship they expected to see between variables in a dataset, even when no such relationship exists. In some situations, this bias might increase the probability of someone engaging in a desired behavior - for example, someone might be more likely to see a relationship between a behavior and an outcome, a level of effort and the level of successful engagement in the behavior, and so on, if they expect such relationships to exist; this in itself may be motivating, and may increase the probability that the person values, desires, and attempts to start and maintain the behavior. In cases where this bias is counterproductive, however, it may be helpful to encourage the person to at least question their assumptions about the situation in question, and (ideally) to seek more information (where available) in order to form more accurate beliefs.",dataset illusory whereby correlation phenomenon observer variables sees refers relationship,"['correlate', 'correlated', 'correlation', 'data', 'histogram', 'illusion', 'linkage', 'predictive', 'relationship', 'relationships', 'subjective', 'variable']"
Impact Bias,Desires,"Impact Bias refers to a tendency to overestimate the length or the intensity of the impact of future emotions. Before and during the new behavior adoption, draw people's attention to the fact that whatever emotion is motivating their behavior change will soon fade and that they won't be able to rely on it as a consistent motivator.",overestimate emotions intensity tendency bias refers impact length future or,"['adrenaline', 'emotion', 'emotions', 'estimate', 'excitement', 'future', 'impact', 'intensities', 'intensity', 'length', 'luminosity', 'severity', 'velocity']"
Incomplete Comparison Fallacy,Desires,"Incomplete Comparison Fallacy refers to the use of a claim containing incomplete information, which therefore cannot be refuted. This fallacy would be important to avoid when presenting information about why it may be beneficial to engage in a desired behavior. Although it might increase the probability that someone desires, plans for, implements and maintains a positive behavior, it would be scientifically misleading, unethical, and would come with the potential to backfire for those who notice the fallacy (through Argument from Fallacy/Inoculation Effect).",refuted incomplete refers fallacy comparison containing therefore claim cannot information,"['comparison', 'contradict', 'disprove', 'inaccuracies', 'inaccurate', 'incomplete', 'information', 'misrepresent', 'refute', 'subjective', 'substantiate', 'untrue']"
Inconsistent Comparison Fallacy,Desires,"Inconsistent Comparison Fallacy refers to the comparison of items along differing dimensions in such a way as to give the impression that one item is superior to the others. This fallacy would be important to avoid when presenting information about why it may be beneficial to engage in a desired behavior. Although it might increase the probability that someone desires, plans for, implements and maintains a positive behavior, it could be misleading (and if so, unethical), and would come with the potential to backfire for those who notice the fallacy (through Argument from Fallacy/Inoculation Effect).",differing dimensions inconsistent refers fallacy superior impression item items comparison,"['comparison', 'comparisons', 'credence', 'dimension', 'impression', 'inconsistent', 'inferior', 'resemblance', 'subjective', 'superior']"
Information Bias,Desires,"Information Bias in psychology refers to a cognitive bias towards seeking further information, even when further information is not relevant or required for choosing one's next course of action. If people keep asking for more information than is necessary for them to adopt the new behavior, gently point out to them that they have all the necessary information and that they may just be trying to find ways to avoid adopting the new behavior.",cognitive choosing bias refers seeking psychology one's relevant towards action,"['choice', 'choices', 'consult', 'decision', 'decisions', 'further', 'information', 'more', 'notify', 'pursue', 'relevant', 'seek', 'subjective']"
Ingroup Bias,Desires,"Ingroup Bias refers to a tendency for people to give preferential treatment those perceived to be members of their ingroup. It might be that this bias encourages positive behavior change, if the people and/or organizations presenting information about a behavior are perceived as members of the ingroup. This bias may also increase someone's motivation to start and continue a behavior, if they perceive it as being a requirement for belonging to a desired ingroup. On the other hand, there are also cases where this fallacy may be counterproductive (such as when a behavior is seen as putting the person at risk of differing too much from what they perceive as the ingroup norm), a benevolent helper could point out that this is an undesirable bias that has multiple negative impacts (including in other areas of life), and could encourage the person to focus on the behavior itself, rather than the people or organization(s) they associate (or don't associate) with it. (There are some similarities between these strategies and those targeting Guilt by Association and Appeal to Spite fallacy, except that those focus on the outgroup.) ",preferential perceived tendency bias refers treatment members give those their,"['discounts', 'discriminate', 'group', 'member', 'preferential', 'privileges', 'subscribe', 'subsidies', 'subsidized', 'therapies', 'treatment', 'treatments', 'unfair']"
Inoculation Effect,Desires,"The Inoculation Effect refers to the phenomenon whereby exposure to a flawed argument in favor of a particuar hypothesis then reduces the perceived credibility of the hypothesis itself (despite the possibility that the hypothesis could be supported by other, better arguments). (Note: similar to Argument from Fallacy.) It might be possible to reduce the probability of this effect arising, if care is taken not to promote a positive behavior (or discourage a negative one) in a way that employs bad arguments. If the effect has already occurred, though, then in cases where the end result is people being encouraged to engage in a positive behavior or being discouraged from a negative behavior, it may not need to be rectified. And in cases where this effect is counterproductive, a benevolent helper could point out that the hypothesis should be evaluated separately from the arguments that had been proposed to support it, and could encourage the person to steelman the hypothesis and/or to focus on the information itself, rather than the flawed ways in which it has so far been conveyed. ",whereby reduces perceived credibility flawed exposure hypothesis phenomenon refers favor,"['antibiotic', 'antibiotics', 'antibodies', 'doses', 'exposure', 'flawed', 'flu', 'immune', 'immunization', 'influenza', 'inoculation', 'vaccine', 'vaccines', 'weakened']"
Irrational Escalation (aka Escalation of Commitment) / Sunk Cost Fallacy,Desires,"Irrational Escalation refers to a phenomenon whereby people justify increased investment in a decision based on the cumulative prior investment, despite new evidence suggesting that the cost (starting today) of continuing the decision increasingly outweighs the expected benefit. Help people to notice that having sunk a lot of time, energy, and money into an old behavior isn't a good reason to maintain that old behavior. Conversely, ask people to expend a lot of time, energy, and money on a new, positive behavior, since that will decrease the likelihood that they'll regress into other, less desirable behaviors.",cumulative outweighs escalation increasingly whereby investment irrational suggesting phenomenon refers,"['cost', 'decline', 'decrease', 'decreased', 'escalation', 'increase', 'increased', 'increases', 'investment', 'previous', 'prior', 'pulldown', 'risen', 'sank', 'sunk']"
Irrelevant Conclusion Fallacy,Desires,"The Irrelevant Conclusion Fallacy refers to the use of an argument that may in itself be valid, but that does not address the issue in question. This fallacy would be important to avoid if someone is attempting to support someone throughout any of the processes of behavior change (from deciding whether they want to engage in a behavior, to planning how they will engage in it, and/or through to deciding if they will do it and stick to it). If someone employs this fallacy when trying to support someone to plan, engage in and continue a behavior, then when challenges arise, they may fail to address the person's actual concerns, which may reduce the effectiveness of the support they are offering. This could also be directly demotivating, if it makes the person attempting to engage in the behavior feel that their needs are not being heard or supported. If someone employs this fallacy when addressing someone's questions regarding the impacts of the behavior in question, this could be similarly demotivating, or could even lead the person to not believe that the behavior will have the purported effects, because they feel as if their questions have not been adequately answered.",refers fallacy irrelevant conclusion valid argument itself issue address question,"['address', 'arguement', 'argument', 'arguments', 'assertion', 'conclusion', 'conclusions', 'inference', 'irrelevant', 'issue', 'moot', 'subjective', 'valud']"
Just-world Phenomenon,Desires,"The Just-world Phenomenon refers to a tendency for people to want to believe that the world is fundamentally just. As a result, when they witness an otherwise inexplicable injustice, they may rationalize it by searching for ways in which the victim can be perceived as deserving it. This phenomenon could be motivating in situations where the person has successfully started or is beginning to maintain a behavior, because they may perceive that success as being entirely earned (rather than also being the product of luck and circumstances). Conversely, it could be demotivating in cases where someone has failed an initial attempt at behavior change, or has had a slip during the maintenance phase. In those cases, it may be helpful to discourage people from assigning blame, or to point out examples of times when they have succeeded. ",inexplicable rationalize deserving injustice fundamentally perceived tendency victim phenomenon refers,"['beholder', 'dignity', 'equality', 'fairness', 'fundamental', 'intrinsic', 'irrationality', 'justice', 'morality', 'rationality', 'rationalize', 'subjective', 'victim', 'world']"
Loaded Question Fallacy,Considers,"Loaded Question Fallacy refers to the use (typically in an argument) of a question which contains a controversial assumption (such as a presumption of guilt). This fallacy would be important to avoid when presenting information about why it may be beneficial to engage in a desired behavior. Even if it increase the probability that someone engaged in the behavior, statements based on an unproven assumptions would be unwise (and arguably unethical, if provably false or if inducing unwarranted guilt on the part of the listener) to employ as a means of promoting behavior change.",presumption controversial guilt refers fallacy typically assumption loaded contains argument,"['assumption', 'assumptions', 'contentious', 'controversial', 'controversy', 'debatable', 'loaded', 'question', 'reloaded', 'subjective']"
Loss Aversion (see Endowment Effect),Chooses,"Loss Aversion refers to people's tendency to strongly prefer avoiding losses to acquiring gains. By default, offer people regular rewards for performing the actions associated with the new behavior...but make a show of denying them the rewards if they fail to perform the actions.",aversion acquiring gains losses avoiding tendency refers people's strongly loss,"['acquire', 'averse', 'avoid', 'avoids', 'bt', 'discourage', 'gain', 'interested', 'loss', 'preclude', 'prefer', 'susceptible', 'wary']"
Ludic Fallacy,Desires,"Ludic Fallacy can refer to the fallacious assumption that one's own model (or view) of something captures all relevant aspects, and all risks associated with it (that is, that there are no unknown unknowns). (Note: the strategies for the Ludic Fallacy are similar to those for Hasty Generalizations.) The Ludic Fallacy could cause people to prematurely stop searching for information about how to complete the behavior (thus affecting the degree to which they meet the ""Knows"" condition), and/or could cause them to prematurely stop searching for ways to make their environment more conducive to their desired behavior(s), because they conclude that they know everything there is to know about the situation. They may believe, for example, that it is impossible to improve the environmental conditions (e.g., such that the environment would increase their success in starting and continuing the behavior). The same fallacy may also cause someone to assume that they should give up trying or maintaining the behavior for other reasons, and to be too sure about this conclusion (without acknowledging key uncertainties). A longer-term solution to this tendency might be to encourage the person to practice probabilistic thinking, with particular attention being paid to estimating their level of uncertainty in every belief that they form. (For example, they could note that, although they can be sure that they are currently having thoughts [if they are thinking about this idea, then they must be thinking], this is probably the only thing they can really be sure about, and beyond that, that there is some degree of uncertainty in almost every statement). They could also practice fostering epistemic humility - to do this, they could practice realizing that they may be wrong, and practice subjecting their own and others' statements/beliefs to scrutiny using evidence and reasoning.",captures unknowns fallacious risks fallacy aspects associated assumption unknown one's,"['differs', 'insight', 'known', 'mindset', 'model', 'perspective', 'perspectives', 'self', 'standpoint', 'subjective', 'unknown', 'view', 'viewpoint']"
Mere Exposure Effect,Considers,The Mere Exposure Effect refers to a tendency to express undue liking for things merely because of familiarity with them. Regularly expose people to examples of the new behavior so that they develop a liking for it.,familiarity undue liking tendency exposure mere refers express merely effect,"['affinity', 'anonymity', 'exposure', 'exposures', 'familiar', 'prefer', 'preference', 'preferences', 'preferred', 'sensitivity']"
Misleading Vividness Fallacy,Desires,"Misleading Vividness Fallacy refers to the fallacious assumption that more vividly-described examples of something are more likely to be representative of that thing, or more worthwhile to consider when deciding on a conclusion or course of action. At least in its misleading form, this fallacy would be important to avoid when presenting information about why it may be beneficial to engage in a desired behavior. Arguably, if there were examples that were both vivid and true, then this might be beneficial to include as part of one's communication about a desired behavior change (as it might increase the degree to which people desire, plan for, implement and maintain the behavior).",fallacious misleading deciding worthwhile representative refers fallacy assumption conclusion examples,"['deceive', 'description', 'discredit', 'distort', 'mislead', 'misleading', 'misled', 'misrepresent', 'representative', 'subjective', 'truthful', 'vivid', 'worthwhile']"
Money Illusion,Desires,"The Money Illusion refers to a tendency to concentrate on the nominal (face) value of money rather than its value in terms of purchasing power. This might affect the degree to which someone desires a given behavior - for example, if the behavior is perceived as increasing earning capacity (such as through building a new habit or skill), then this may be perceived as more motivating than if the behavior is perceived as changing the person's purchasing power. Likewise, someone may dislike the idea of parting with money directly (even if it would be through a tax-deductible donation, which might not reduce their purchasing power much over the long-term if they receive tax benefits from it). To compensate for this effect in cases where this is desirable, e.g., when asking people to donate to a charity, show them how large of an effect their donation will have.",illusion tendency nominal concentrate purchasing refers terms face value money,"['actual', 'apparent', 'delusion', 'emphasis', 'focus', 'illusion', 'illusions', 'invisible', 'mirage', 'money', 'obfuscate', 'perception', 'power', 'purchase', 'subjective']"
Mood-congruent Memory Bias,Remembers,"The Mood-congruent Memory bias refers to the improved recall of information that is congruent with one's current mood. If someone remembers a behavioral change goal more easily due to the information being presented at a time when it is congruent with their mood, this could increase the probability that they think of it and choose to engage in it when opportunities to engage in that behavior arise. This may be an important consideration for implementation scientists at the ""considers"" stage: for those planning interventions, it may be worth planning when and how to best present information (in such a way as to increase the probability that the information will be congruent with the mood of the perceiver), especially if it is thought that this will increase the retention of the key messages being promoted (which might be expected to increase the probability that the person will remember and choose the behavior at the moment(s) of behavioral opportunity).",congruent mood bias refers improved one's recall current memory information,"['attitudes', 'congruent', 'correlated', 'current', 'feelings', 'memory', 'mindset', 'mood', 'remember', 'sentiments', 'subjective', 'tone']"
Moral Credential Effect,Considers,"The Moral Credential Effect refers to a psychological phenomenon whereby someone may perceive their moral or egalitarian actions as a ""license"" to later engage in less moral or egalitarian actions. Discuss examples of people who haven't rested on past moral achievements but who have continued to press forward doing good in the world.",credential egalitarian perceive whereby engage psychological phenomenon refers license actions,"['certification', 'citizenship', 'credential', 'credentials', 'egalitarian', 'infallibility', 'license', 'licenses', 'moral', 'passport', 'privileges', 'relativism', 'visa']"
Moral Luck,Maintains,"Moral Luck refers to a situation in which moral (dis)value is ascribed to an action or event based on its outcome, rather than on the intention(s) or actual level of responsibility of the moral agents involved at the time of the action or event. [note to self - need to come back and rephrase this] In cases where this phenomenon is encouraging a positive behavior or discouraging a negative one, this may not need to be rectified. In cases where this phenomenon is counterproductive, a benevolent helper could point out the factors in a situation that could have turn out differently (particularly with respect to the moral implications of the different possible outcomes). This phenomenon might cause people to think that a given behavior change is morally praiseworthy if it is associated with positive outcomes, even if those outcomes were in part due to change. The reverse could also occur (moral culpability may be ascribed to the behavior change if it is associated with negative outcomes, even if these were not due to the behavior itself). A benevolent helper could point out the phenomenon when it arises, and could encourage the person to reevaluate their beliefs about the relative value (or disvalue) of the behavior in question.",ascribed rephrase dis intention outcome refers agents self responsibility actual,"['destiny', 'intention', 'intentions', 'luck', 'moral', 'motive', 'motives', 'obligation', 'outcome', 'responsibility', 'responsiblity', 'value']"
Moving the Goalposts Fallacy,Desires,"Moving the Goalposts Fallacy refers to the dismissal of a valid response to a claim in an argument, followed by the demand for other (usually more difficult-to-produce) evidence. If this fallacy was preventing someone from engaging with arguments pertaining to the possibility of, or positive outcomes associated with, a behavior change, then a benevolent helper could encourage the person to write down, a priori, what information would cause them to change their mind regarding the issue in question. If the person was able to be specific about their hypotheses and about what level of evidence would cause them to change their mind, they might be less likely to ""move the goalposts"" (or might be more likely to at least acknowledge the times at which they do so). ",dismissal refers fallacy demand followed valid moving response argument usually,"['crease', 'demand', 'dismiss', 'equalizer', 'evidence', 'gk', 'goalie', 'goalpost', 'header', 'puck', 'referee', 'response', 'retract', 'substantiate', 'valid']"
Negativity Bias,Desires,"Negativity Bias refers to a cognitive bias in which people pay more attention to and give more weight negative experiences or information than to positive or neutral experiences or information. When presenting costs and benefits, lead with costs. Without downplaying the costs or exaggerating the benefits, show why the benefits outweigh the costs. If possible, absorb some of the costs for users or give additional, non-intrinsic benefits.",cognitive neutral bias refers negative weight experiences positive attention pay,"['attention', 'commenting', 'constructive', 'experiences', 'feedback', 'focus', 'focused', 'information', 'negative', 'neutral', 'positive', 'subjective']"
Neglect of Probability,Considers,"Neglect of Probability refers to a tendency to completely disregard probabilities when making a decision under uncertainty. If people are completely unfamiliar with probabilistic thinking, give them some examples that have similar likelihood to the outcomes of the target behavior to help them develop an intuitive feel for the likelihood of the outcomes. (Or do the same thing with expected value calculations.)",probabilities neglect uncertainty tendency disregard probability refers decision completely making,"['cruelty', 'disregard', 'hostility', 'ignorance', 'incompetence', 'instability', 'irrationality', 'neglect', 'probability', 'uncertainty']"
Next-in-line Effect in Memory,Remembers,"The Next-in-line Effect refers to a tendency for someone in a group to be less likely to remember what was said immediately before or after it was their turn to speak. This effect may be an argument against using group discussion settings as the first context in which to present information pertaining to a desired behavior change: in group discussion settings, depending on how they are set out, it would be possible that a number of people in the room would be considering whether they might be speaking next, in which case they may not recall the information pertaining to the behavior. This could then reduce the probability that they think of the behavior and choose to engage in it when opportunities to engage in that behavior arise. ",tendency refers immediately effect speak turn likely remember less group,"['after', 'anonymity', 'before', 'comment', 'discuss', 'group', 'immediate', 'immediately', 'imminent', 'respond', 'speak', 'specify', 'spoke']"
Nirvana Fallacy,Desires,"The Nirvana Fallacy refers to a tendency to assume that perfect solutions to problems exist, or to compare reality with unrealistic, idealized alternatives. The Nirvana Fallacy could cause people to dismiss proposals for behavior change, if these do not match up with their unrealistically high expectations regarding what a behavior change ""should"" constitute. It may also distort their perception of the possible ways to plan for and implement the behavior, may give them unrealistically high expectations of the environmental requirements (""Has"" condition), and may give them unrealistically high expectations regarding what should happen during the maintenance phase of the behavior as well. A benevolent helper could respectfully encourage the person to engage in more realistic reasoning, perhaps by providing examples of outcomes that are desirable, despite not being perfect.",idealized nirvana unrealistic tendency refers fallacy alternatives solutions compare perfect,"['alternatives', 'bliss', 'ideal', 'impractical', 'mirage', 'nirvana', 'optimal', 'oxymoron', 'paradise', 'perfect', 'unrealistic', 'utopia', 'utopian']"
No True Scotsman Fallacy,Has,"The No True Scotsman Fallacy refers to the fallacious assumption that one can still defend a universal claim even when faced with a counterexample of it, as long as one simply redefines the universal claim as specifically excluding that counterexample. This fallacy may cause someone to form unrealistic beliefs about what is involved in successfully adopting and/or continuing a behavior. For example, if they believe that all people who learn a particular skill must do so through a specific school or training program in order to be considered ""truly"" skilled at the behavior in question, then - even if they are given counterexamples of people who learned the skill through other mechanisms - they may form the mistaken belief that they will not be ""truly"" skilled at the behavior unless they too partake in exactly the same training. This might present them with an unnecessarily inflexible/restrictive idea of what would be required to be able to engage in the behavior (i.e. to meet the ""Has"" condition), which might then limit how realistic or successful they might be in their plans to start and continue the behavior. In such cases, it would be helpful if it was possible to encourage the person to consider re-evaluating the situation in light of new information. Over the longer-term, it might help to encourage the person to develop probabilistic and nuanced thinking, wherein they might become less inclined to want to categorize things as being ""always"" a certain way.",fallacious counterexample excluding faced refers fallacy universal defend assumption specifically,"['authenticity', 'citizenship', 'creed', 'equality', 'group', 'identifier', 'identities', 'identity', 'member', 'nationality', 'password', 'true', 'universal']"
Normalcy Bias,Considers,"Normalcy Bias refers to a cognitive bias whereby people facing a disaster or other threat tend to underestimate both the possibility of the disaster or threat occurring, and its possible effects. An assumption is made in the case of the Normalcy Bias that since a disaster never has occurred, it never will occur. It also results in a person's inability to cope with a disaster once it does occur. People with a normalcy bias have difficulties reacting to something they have not experienced before. People also tend to interpret warnings in the most optimistic way possible, seizing on any ambiguities to infer a less serious situation. The normalcy bias often results in unnecessary deaths in disaster situations. Provide regular training for governments, communities, and individuals so that disaster responses become automatic.",ambiguities seizing reacting cognitive occurring underestimate optimistic infer cope whereby,"['disaster', 'disasters', 'estimate', 'estimates', 'estimating', 'forecast', 'normal', 'normalcy', 'predict', 'quake', 'threat', 'underestimate']"
Observer-Expectancy Effect,Desires,"The Observer-Expectancy Effect refers to an effect whereby someone expects a particular result (e.g., in an experiment or dataset) and, owing to this expectation, subconsciously manipulates an experiment or misinterprets data in order to find that result. This might manifest in a behavior change context as a person who has an expectation that they'll fail to adopt a new behavior and who thus subconsciously sabotages themselves or misinterprets the actual outcomes as failure. When this has already occurred, it might be helpful to challenge people's assumptions or to encourage people to write down or speak through exactly what they did and what outcomes occurred, since it may be easier to analyze what happened and to identify flawed reasoning when it is articulated clearly. In other cases, it might be possible to avoid this occurring in the first place, or to encourage people to expect better outcomes (thus hopefully increasing their chances of succeeding in their behavior change efforts). In such situations, this could interact positively with Optimism Bias. As long as the person being encouraged is aware of the Observer-expectancy Effect and of the placebo effect (and is therefore not being misled as to the intentions behind such encouragement), it might be helpful to encourage the person to be slightly more optimistic than is statistically justified. As long as the person's expectations are not so high as to be unrealistic, having high expectations in and of themselves could increase the probability that the person performs better than they would have (had their expectations been lower). This effect could interact with every stage of behavior change, from the planning through to implementation and maintenance of the behavior.",dataset owing manipulates expectation whereby expects refers experiment result effect,"['data', 'decipher', 'discern', 'expect', 'experiment', 'extrapolate', 'interpret', 'manipulate', 'neural', 'observe', 'parse', 'result', 'subconscious', 'subjective', 'subvert', 'visualize']"
Omission Bias,Desires,"Omission Bias refers to a tendency to judge harmful actions as morally worse than equally harmful omissions (inactions). Some moral philosophers posit that this is not a bias and that it truly is the case that harmful actions are morally worse than harmful omissions (i.e., they endorse the acts/omissions distinction). Show how inaction or lack of adoption of target behavior doesn't allow people to escape moral culpability.",omission endorse philosophers posit omissions tendency morally harmful bias refers,"['action', 'construed', 'delete', 'harmful', 'judge', 'mislead', 'misrepresent', 'objectionable', 'omission', 'omissions', 'omit', 'omitted', 'subjective', 'withhold']"
